case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.09896443080664301,0.09233637237482144,0.10661762102684273,0.9935505904529861,0.9861004978319339,0.9861004978319339,0.10661762102684293,0.9860898799638999,0.052058168931912965
coronacases_002,0.01000340834923144,0.028349188379863683,0.00607321339721303,0.9756404208113264,0.9706927299499511,0.9706927299499511,0.006073213397213034,0.9706883898538673,0.005026846976121344
coronacases_003,0.056422573539914124,0.047107964512899655,0.07032856855055955,0.9844837752899097,0.9616950988769531,0.9616950988769531,0.07032856855055963,0.9616511799516491,0.029030267985093245
coronacases_004,0.018689246628594863,0.06944770340822382,0.010797493695476692,0.9877173521482194,0.9859480398672599,0.9859480398672599,0.010797493695476704,0.9859461593073358,0.009432768987294496
coronacases_005,0.0005038460581016151,0.0014346714148808803,0.0003055821279145043,0.989087342697969,0.9867962935875202,0.9867962935875202,0.00030558212791450466,0.9867962496455115,0.0002519865102557514
coronacases_006,0.005412877351582228,0.01803451825510342,0.0031843074308374997,0.9848334272210766,0.9822431036004438,0.9822431036004438,0.0031843074308375036,0.982242245554651,0.0027137833640452874
coronacases_007,0.004559652544700417,0.010850059816562481,0.002886298407010798,0.9896031548805696,0.9868958561295965,0.9868958561295965,0.0028862984070108025,0.9868954628360196,0.002285035756902056
coronacases_008,0.0064160734851322985,0.006278388981318704,0.006559932206467611,0.9932970507704921,0.9863874999391676,0.9863874999391676,0.006559932206467624,0.9863869016244937,0.003218361364072953
coronacases_009,0.02119074687562394,0.05798917915939974,0.012964078304987383,0.9852006888215501,0.9821030646562576,0.9821030646562576,0.012964078304987395,0.9820995968112073,0.010708837570961183
coronacases_010,0.018242390048628453,0.01807393450932917,0.01841401526227913,0.9893327354617265,0.9786968548036493,0.9786968548036493,0.018414015262279156,0.9786926376358229,0.009205157057061129
