case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.0,0.0,0.0,1.0,0.991733272210308,0.991733272210308,nan,0.991733272210308,0.0
coronacases_002,0.0,0.0,0.0,1.0,0.9947770118713379,0.9947770118713379,nan,0.9947770118713379,0.0
coronacases_003,0.0,0.0,0.0,1.0,0.9756888580322266,0.9756888580322266,nan,0.9756888580322266,0.0
coronacases_004,0.0,0.0,0.0,1.0,0.9980732105396412,0.9980732105396412,nan,0.9980732105396412,0.0
coronacases_005,0.0,0.0,0.0,1.0,0.9976803089010304,0.9976803089010304,nan,0.9976803089010304,0.0
coronacases_006,0.0,0.0,0.0,1.0,0.9973207214068919,0.9973207214068919,nan,0.9973207214068919,0.0
coronacases_007,0.0,0.0,0.0,1.0,0.9972339308405497,0.9972339308405497,nan,0.9972339308405497,0.0
coronacases_008,0.0,0.0,0.0,1.0,0.9929995742747157,0.9929995742747157,nan,0.9929995742747157,0.0
coronacases_009,0.0,0.0,0.0,1.0,0.9966592043638229,0.9966592043638229,nan,0.9966592043638229,0.0
coronacases_010,0.0,0.0,0.0,1.0,0.9890493855523904,0.9890493855523904,nan,0.9890493855523904,0.0
