case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.2858570249121327,0.49868693171278294,0.2003510738548524,0.983408928891019,0.9794018640866707,0.9794018640866707,0.2003510738548525,0.9793165965674547,0.16676381670990997
coronacases_002,0.03332224748383376,0.21441378932568805,0.018064862313652452,0.9388080693755618,0.9350245666503906,0.9350245666503906,0.018064862313652456,0.9349517203389737,0.016943420161844667
coronacases_003,0.44727486176835046,0.6052938795108124,0.3546812025076991,0.9725592207528783,0.9636305809020996,0.9636305809020996,0.35468120250769924,0.9630873977322465,0.2880579767503076
coronacases_004,0.048679985155481054,0.9815656713791212,0.024958901213190315,0.9259732497590969,0.9260803646511502,0.9260803646511502,0.024958901213190318,0.9259402977291336,0.024947207421208088
coronacases_005,0.1274870897937558,0.9060318576442985,0.06856759321207603,0.9713836221051364,0.9712320261988147,0.9712320261988147,0.06856759321207606,0.9711714368029183,0.06808342367034151
coronacases_006,0.011536183449244312,0.039317656181066835,0.006759785139505316,0.9844799879038347,0.9819476347014378,0.9819476347014378,0.006759785139505325,0.9819457328115901,0.0058015556296394195
coronacases_007,0.11255869506163786,0.8674896982586686,0.06018384031207202,0.9624254900319701,0.962162891066218,0.962162891066218,0.060183840312072044,0.9620718811606679,0.059635600199664865
coronacases_008,0.12343706846547117,0.47212833403636234,0.07099993411563303,0.9564494891597796,0.9530590348861542,0.9530590348861542,0.07099993411563306,0.9529033758650345,0.06577827281525409
coronacases_009,0.09717219290468482,0.9097757775527733,0.05132719846538548,0.9436353925481904,0.9435222744941711,0.9435222744941711,0.05132719846538549,0.9433500941896703,0.05106725503082653
coronacases_010,0.33650095023470006,0.7731563244304219,0.21504820803621777,0.9687539602437591,0.9666120459471034,0.9666120459471034,0.21504820803621782,0.9663269518451745,0.2022850270231152
