case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.29818676003869177,0.7345795423214766,0.18705983831818812,0.9457864512815725,0.9422596109324488,0.9422596109324488,0.1870598383181882,0.9415425494739273,0.17521708789001506
coronacases_002,0.16781930554246496,0.6707908420180957,0.09590668037612843,0.9544509023443127,0.952422242064576,0.952422242064576,0.09590668037612847,0.952192896316343,0.09159539015454606
coronacases_003,0.4770421966388551,0.7528761663912723,0.34913012674171445,0.9477553702714914,0.9407617085015596,0.9407617085015596,0.34913012674171456,0.9391167283619275,0.31323402105168663
coronacases_004,0.36496151447067904,0.46509025521504227,0.30030845587685534,0.9949232197182649,0.9924525134968307,0.9924525134968307,0.30030845587685684,0.9924361089348328,0.22321279755841905
coronacases_005,0.4822775236617821,0.5673483078357434,0.41939198332450633,0.9952230968133867,0.9926365689114407,0.9926365689114407,0.4193919833245081,0.992611227984314,0.3177639727820109
coronacases_006,0.6356913699555558,0.7029917250159088,0.5801510677593058,0.9957045909475419,0.9932538761812097,0.9932538761812097,0.580151067759309,0.9932139351591801,0.46594396308616043
coronacases_007,0.20100599280306786,0.48856920508887214,0.12653167929008927,0.9726193584988863,0.9687212989443824,0.9687212989443824,0.12653167929008946,0.9685977483077338,0.11173244157508992
coronacases_008,0.24331582028968968,0.5800054747889681,0.15394922844235306,0.9682951204177077,0.9644709917215201,0.9644709917215201,0.15394922844235312,0.9642668744340189,0.13850857376640935
coronacases_009,0.337899202114776,0.5503151175266631,0.24379634641001882,0.9868874194569209,0.9835593077513549,0.9835593077513549,0.24379634641001932,0.9834900451105733,0.20329645623460563
coronacases_010,0.28017056784131916,0.6795558256988209,0.17646148104617643,0.9444373113724133,0.9398765963409583,0.9398765963409583,0.17646148104617648,0.9391647906097816,0.162906019982259
