case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.0,0.0,0.0,0.9999452800916208,0.991679004656516,0.991679004656516,0.0,0.991679004656516,0.0
coronacases_002,0.0013949273445957135,0.0036116639582230046,0.0008643895958607181,0.978081262253747,0.9729916191101075,0.9729916191101075,0.0008643895958607188,0.9729911096230968,0.0006979504673939277
coronacases_003,0.0,0.0,0.0,0.999998631588306,0.9756875228881836,0.9756875228881836,0.0,0.9756875228881836,0.0
coronacases_004,0.0036099919419822677,0.011086994779139945,0.0021559990817040914,0.990093966657807,0.9882076263427735,0.9882076263427735,0.002155999081704095,0.9882073744251129,0.0018082598727760019
coronacases_005,0.0,0.0,0.0,0.9732106937040478,0.9709531455204404,0.9709531455204404,0.0,0.9709531455204404,0.0
coronacases_006,0.0,0.0,0.0,0.997128058631923,0.994456474769843,0.994456474769843,0.0,0.994456474769843,0.0
coronacases_007,0.0,0.0,0.0,0.9978001423925262,0.9950401581913592,0.9950401581913592,0.0,0.9950401581913592,0.0
coronacases_008,2.1888680425265754e-05,1.2672642119155399e-05,8.02485411961609e-05,0.9988868067584366,0.9918942625736478,0.9918942625736478,8.024854119616183e-05,0.9918942618545562,1.0944459992526497e-05
coronacases_009,0.0,0.0,0.0,1.0,0.9966592043638229,0.9966592043638229,nan,0.9966592043638229,0.0
coronacases_010,0.0020637977878042633,0.0010751543292032272,0.025648812810601173,0.9995477906167661,0.9886139017402927,0.9886139017402927,0.025648812810601877,0.988613767683342,0.0010329648091461307
