case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.29151873879030166,0.3483792236147243,0.25061480840582395,0.9898191138502667,0.9836108938525223,0.9836108938525223,0.25061480840582423,0.9835554459040036,0.17063034017937695
volume-covid19-A-0011,0.03538328134325827,0.03337865975438728,0.03764407063954163,0.9979246149799578,0.9955843848151129,0.9955843848151129,0.03764407063954185,0.9955840271875903,0.01801027193103132
volume-covid19-A-0013,0.008851253756477554,0.007536633986547116,0.010721393034825827,0.995596132413022,0.989378415621244,0.989378415621244,0.01072139303482587,0.9893779118479222,0.004445300117922501
volume-covid19-A-0014,0.06200626340142189,0.27034812202722375,0.035019067751598666,0.9902941587190877,0.989357394771976,0.989357394771976,0.035019067751598715,0.9893536497503543,0.03199507935988004
volume-covid19-A-0016,0.044280175256272515,0.11860284461871272,0.02722167035989908,0.9951515167544116,0.9941499239850242,0.9941499239850242,0.027221670359899138,0.9941491310627467,0.02264136953363192
volume-covid19-A-0025,0.12790521499348478,0.07343898353109587,0.4950904825737183,0.998066966247446,0.9748029865202357,0.9748029865202357,0.49509048257372656,0.9747563425065363,0.06832197601204254
volume-covid19-A-0031,0.05670737479882555,0.048311126883245986,0.06863598863323704,0.9978693563842609,0.9947931995130566,0.9947931995130566,0.06863598863323861,0.9947923844842534,0.029181078579431967
volume-covid19-A-0034,0.02197507023746426,0.011166362945529357,0.6860834088847039,0.9999002498722693,0.9809660734953703,0.9809660734953703,0.6860834088848595,0.9809620025056616,0.011109602263760381
volume-covid19-A-0038,0.003137008862049912,0.001957521777429678,0.007892659826359926,0.9997090457940394,0.9985306479714133,0.9985306479714133,0.007892659826361484,0.9985306445743551,0.0015709685020815333
volume-covid19-A-0039,0.016013384321222752,0.01004196642685776,0.03950471698112043,0.9997926860556745,0.9989529927571614,0.9989529927571614,0.039504716981132074,0.9989529838371172,0.008071316708830262
volume-covid19-A-0041,0.08730268432256022,0.08956155111455466,0.08515495793485142,0.9972579294740819,0.9946784973144531,0.9946784973144531,0.08515495793485295,0.9946771425931938,0.04564375325200902
volume-covid19-A-0044,0.0021045247281653713,0.0015915119363393113,0.0031055900621109974,0.9997838171780262,0.9993615991928998,0.9993615991928998,0.003105590062111801,0.9993615987631397,0.001053370786516854
volume-covid19-A-0046,0.02372504859161411,0.014322965170422532,0.06905531609194782,0.999456736535089,0.996692814239084,0.996692814239084,0.06905531609195402,0.9966926813346103,0.012004933106452067
volume-covid19-A-0047,0.013538841920561357,0.012577800829875287,0.014658894645940963,0.9974318313589703,0.9944492788875804,0.9944492788875804,0.014658894645941278,0.9944490674477071,0.006815558343789209
volume-covid19-A-0053,0.1108186495560097,0.08734147487083069,0.15155672679852,0.9958572257480658,0.9882242926235857,0.9882242926235857,0.15155672679852206,0.9882156452280116,0.05865961440386122
volume-covid19-A-0054,0.0578241598725978,0.05289484201162802,0.06376662936715106,0.9906978518169538,0.9795979309082031,0.9795979309082031,0.06376662936715156,0.9795851498214291,0.029772875698425367
volume-covid19-A-0066,0.12911799331140528,0.06943114260722578,0.9200062863428838,0.9998554045565318,0.9780915000221946,0.9780915000221946,0.92000628634292,0.9780558607646362,0.06901450377404647
volume-covid19-A-0070,0.0013165473545625511,0.0012521521364843868,0.0013879250520469485,0.9996906346853017,0.9993479016801001,0.9993479016801001,0.0013879250520471894,0.9993479013998118,0.0006587072869493619
volume-covid19-A-0072,0.0034467901766477844,0.0027835768963114836,0.004524886877827323,0.9996946720621814,0.9991978732022372,0.9991978732022372,0.004524886877828055,0.9991978720895554,0.0017263703064307294
volume-covid19-A-0073,0.00879439478134794,0.00617828773168558,0.015253100905127786,0.9993397516589653,0.9976985033820657,0.9976985033820657,0.015253100905129064,0.9976984798837178,0.004416618132401476
volume-covid19-A-0074,0.01577377493705198,0.035705517168810784,0.010122906805616222,0.9944066736935827,0.9928733040304745,0.9928733040304745,0.010122906805616325,0.9928728970140098,0.007949584950451751
volume-covid19-A-0077,0.0,0.0,0.0,0.9987823710764059,0.9986082223745493,0.9986082223745493,0.0,0.9986082223745493,0.0
volume-covid19-A-0083,0.0024367864502639483,0.0198675496688693,0.001297993718351367,0.9962253637651758,0.9959843347943018,0.9959843347943018,0.0012979937183513878,0.9959843150989304,0.0012198795180722892
volume-covid19-A-0090,0.03973509933774356,0.09369676320267252,0.025213936430313992,0.9996255927845232,0.9995319659893329,0.9995319659893329,0.02521393643031785,0.9995319614570993,0.02027027027027027
volume-covid19-A-0092,0.038676307007786216,0.032741346190063345,0.04723928047388665,0.9949137025912576,0.9875593365363355,0.9875593365363355,0.04723928047388729,0.9875562223747684,0.019719492068533316
volume-covid19-A-0096,0.0,0.0,0.0,0.9997329976016424,0.9993784465487041,0.9993784465487041,0.0,0.9993784465487041,0.0
volume-covid19-A-0106,0.02927726353215191,0.026319850104705694,0.032983425414363735,0.9978046359270959,0.9950485854852394,0.9950485854852394,0.032983425414364644,0.9950482157453693,0.01485610481392542
volume-covid19-A-0110,0.022885922478721274,0.01891734575087287,0.028961642774117998,0.9966860214035744,0.9916038513183594,0.9916038513183594,0.02896164277411856,0.991603025668136,0.0115754183023236
volume-covid19-A-0112,0.005286381173661772,0.010363560384453793,0.0035481286482773396,0.9982276811831338,0.9976264953613281,0.9976264953613281,0.0035481286482774406,0.9976264803916203,0.0026501955587851845
volume-covid19-A-0114,0.02088068729051813,0.012708089097303038,0.058506044904996,0.9997024982844703,0.9982687405177525,0.9982687405177525,0.05850604490500864,0.9982687085574027,0.01055049443276493
volume-covid19-A-0120,0.011539485753173017,0.013620171823705132,0.010010266940451231,0.9989482302972611,0.9981794629778181,0.9981794629778181,0.010010266940451745,0.9981794436313906,0.005803225998452473
volume-covid19-A-0129,0.0,0.0,0.0,0.9955618022404883,0.9918450980350889,0.9918450980350889,0.0,0.9918450980350889,0.0
volume-covid19-A-0130,0.1400086893019896,0.13146428261435525,0.14974097362280867,0.9943004048871698,0.98776231963059,0.98776231963059,0.14974097362281014,0.9877501167605469,0.07527384052640995
volume-covid19-A-0133,0.04852680187538063,0.15656632798404413,0.028713133367697975,0.9815946689007837,0.9787374693771889,0.9787374693771889,0.02871313336769807,0.9787259342984401,0.02486675293415016
volume-covid19-A-0147,0.087458053691266,0.11031746031743113,0.07244614315495614,0.9997130872414696,0.9995324578083736,0.9995324578083736,0.07244614315496872,0.9995324473330289,0.04572869832218445
