case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.0,0.0,0.0,1.0,0.9903214313729932,0.9903214313729932,nan,0.9903214313729932,0.0
volume-covid19-A-0011,0.0,0.0,0.0,1.0,0.9975737494391363,0.9975737494391363,nan,0.9975737494391363,0.0
volume-covid19-A-0014,0.0,0.0,0.0,1.0,0.9986988414417614,0.9986988414417614,nan,0.9986988414417614,0.0
volume-covid19-A-0016,0.0,0.0,0.0,1.0,0.9988573449470329,0.9988573449470329,nan,0.9988573449470329,0.0
volume-covid19-A-0025,0.0,0.0,0.0,0.9999999999999999,0.9748396326283939,0.9748396326283939,nan,0.9748396326283939,0.0
volume-covid19-A-0031,0.0,0.0,0.0,1.0,0.9967604336673266,0.9967604336673266,nan,0.9967604336673266,0.0
volume-covid19-A-0034,0.0,0.0,0.0,0.9999999999999999,0.9808500784414785,0.9808500784414785,nan,0.9808500784414785,0.0
volume-covid19-A-0038,0.0,0.0,0.0,1.0,0.9988189466071852,0.9988189466071852,nan,0.9988189466071852,0.0
volume-covid19-A-0039,0.0,0.0,0.0,0.9999999999999999,0.999151611328125,0.999151611328125,nan,0.999151611328125,0.0
volume-covid19-A-0041,0.0,0.0,0.0,1.0,0.9971582654496314,0.9971582654496314,nan,0.9971582654496314,0.0
volume-covid19-A-0044,0.0,0.0,0.0,1.0,0.9995770173914292,0.9995770173914292,nan,0.9995770173914292,0.0
volume-covid19-A-0046,0.0,0.0,0.0,1.0,0.9971943685453232,0.9971943685453232,nan,0.9971943685453232,0.0
volume-covid19-A-0047,0.0,0.0,0.0,1.0,0.9969715791590074,0.9969715791590074,nan,0.9969715791590074,0.0
volume-covid19-A-0053,0.0,0.0,0.0,0.9999999999999999,0.9915984581256735,0.9915984581256735,nan,0.9915984581256735,0.0
volume-covid19-A-0054,0.0,0.0,0.0,0.9999999999999999,0.9881639099121093,0.9881639099121093,nan,0.9881639099121093,0.0
volume-covid19-A-0066,0.0,0.0,0.0,0.9999999999999999,0.976608623157848,0.976608623157848,nan,0.976608623157848,0.0
volume-covid19-A-0070,0.0,0.0,0.0,1.0,0.9996567309742243,0.9996567309742243,nan,0.9996567309742243,0.0
volume-covid19-A-0072,0.0,0.0,0.0,1.0,0.9995016618208452,0.9995016618208452,nan,0.9995016618208452,0.0
volume-covid19-A-0073,0.0,0.0,0.0,1.0,0.9983474507051355,0.9983474507051355,nan,0.9983474507051355,0.0
volume-covid19-A-0074,0.0,0.0,0.0,1.0,0.9984005759744083,0.9984005759744083,nan,0.9984005759744083,0.0
volume-covid19-A-0077,0.0,0.0,0.0,1.0,0.9998256389911359,0.9998256389911359,nan,0.9998256389911359,0.0
volume-covid19-A-0083,0.0,0.0,0.0,0.9999999999999999,0.9997531345912388,0.9997531345912388,nan,0.9997531345912388,0.0
volume-covid19-A-0090,0.0,0.0,0.0,1.0,0.9998966510479267,0.9998966510479267,nan,0.9998966510479267,0.0
volume-covid19-A-0092,0.0,0.0,0.0,0.9999999999999999,0.9923564982864091,0.9923564982864091,nan,0.9923564982864091,0.0
volume-covid19-A-0096,0.0,0.0,0.0,0.9999999999999999,0.9996453542557974,0.9996453542557974,nan,0.9996453542557974,0.0
volume-covid19-A-0106,0.0,0.0,0.0,0.9999999999999999,0.9971630534187692,0.9971630534187692,nan,0.9971630534187692,0.0
volume-covid19-A-0110,0.0,0.0,0.0,0.9999999999999999,0.9948022776636584,0.9948022776636584,nan,0.9948022776636584,0.0
volume-covid19-A-0114,0.0,0.0,0.0,0.9999999999999999,0.9985473496573312,0.9985473496573312,nan,0.9985473496573312,0.0
volume-covid19-A-0120,0.0,0.0,0.0,1.0,0.9992197854178292,0.9992197854178292,nan,0.9992197854178292,0.0
volume-covid19-A-0129,0.0,0.0,0.0,0.9999999999999999,0.9962667267898033,0.9962667267898033,nan,0.9962667267898033,0.0
volume-covid19-A-0130,0.0,0.0,0.0,0.9999999999999999,0.9924225642763335,0.9924225642763335,nan,0.9924225642763335,0.0
volume-covid19-A-0133,0.0,0.0,0.0,0.9999999999999999,0.9965368468185951,0.9965368468185951,nan,0.9965368468185951,0.0
