case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.4375706698751787,0.9649474007847543,0.2829363082645523,0.9760994636549575,0.9759915276491355,0.9759915276491355,0.2829363082645524,0.9757651912663067,0.2800578953802804
volume-covid19-A-0011,0.06259409338486094,0.4360578761738812,0.03371700697594663,0.9696058437575413,0.9683113227019439,0.9683113227019439,0.033717006975946644,0.9682777610277977,0.032308197869706984
volume-covid19-A-0013,0.14978196151889278,0.49590818479616555,0.0882126667744972,0.967539641895399,0.9645717327411358,0.9645717327411358,0.08821266677449724,0.9644608263840282,0.08095368135198423
volume-covid19-A-0014,0.07687609300733941,0.9902411021813905,0.039990346015847916,0.9690288690985607,0.9690564695771757,0.9690564695771757,0.03999034601584794,0.9690165486181902,0.03997459171913504
volume-covid19-A-0016,0.04301184369578424,0.9526235966485939,0.02200264174382432,0.9515609222239207,0.9515621364942218,0.9515621364942218,0.022002641743824325,0.9515093534475733,0.021978591723831573
volume-covid19-A-0025,0.5882195879689478,0.8487227030278305,0.4500754585175855,0.9732349912916293,0.970102216376633,0.970102216376633,0.4500754585175861,0.9694498429771427,0.41665090615806794
volume-covid19-A-0031,0.0998348867214637,0.713940058715348,0.053669952829616625,0.9590862531886782,0.9582920858304794,0.9582920858304794,0.053669952829616695,0.9581953977980178,0.05254011139548245
volume-covid19-A-0034,0.6461082621082612,0.8888749529662578,0.5075011636650066,0.9831587934166931,0.9813532652678313,0.9813532652678313,0.5075011636650077,0.9810303663332139,0.47722298912494526
volume-covid19-A-0038,0.005467928496319581,0.008906724087305036,0.003944858678689008,0.9973407896617512,0.9961733962550308,0.9961733962550308,0.0039448586786890935,0.9961733560013506,0.002741459299873471
volume-covid19-A-0039,0.04236088950776652,0.9848621103116768,0.0216459628352225,0.9622029390983153,0.962222162882487,0.962222162882487,0.021645962835222538,0.9621905713710123,0.021638763386329807
volume-covid19-A-0041,0.05730323466462048,0.24145884933163977,0.0325091703301318,0.9795212468034277,0.9774238693882042,0.9774238693882042,0.032509170330131884,0.9774083678697433,0.029496746835179912
volume-covid19-A-0044,0.03809227486887709,0.6819628647213949,0.019593348473532522,0.9855600874878186,0.9854316711425781,0.9854316711425781,0.019593348473532595,0.9854274675727316,0.019415936020299507
volume-covid19-A-0046,0.07245110834780637,0.7878562115850105,0.03797147920006747,0.9438398576478888,0.9434022250240797,0.9434022250240797,0.03797147920006751,0.9432768422179454,0.0375871702458894
volume-covid19-A-0047,0.08461210210996839,0.7419420569057361,0.04486424122944571,0.952019119270251,0.9513829175163718,0.9513829175163718,0.04486424122944577,0.9512734331702495,0.04417491736435015
volume-covid19-A-0053,0.1914781637426272,0.9783231564114531,0.10612446277945863,0.9301820594706555,0.9305865189124798,0.9305865189124798,0.10612446277945871,0.9300112517881205,0.10587550556695512
volume-covid19-A-0054,0.26225026919089356,0.7606260232824921,0.15843852085378096,0.9516077826063525,0.9493473052978516,0.9493473052978516,0.15843852085378118,0.9488871445334808,0.15091371590590819
volume-covid19-A-0066,0.49054243152720345,0.46618730634089794,0.5175826129323212,0.9895926790389515,0.9773495067249645,0.9773495067249645,0.5175826129323229,0.9770997853120212,0.3249792784990399
volume-covid19-A-0070,0.025145722498404747,0.9591485365470402,0.012739859878172985,0.9744767165784283,0.974471454889002,0.974471454889002,0.012739859878173011,0.9744630469497739,0.012732950873832
volume-covid19-A-0072,0.04175577574461435,0.984093846306692,0.021330420036243785,0.9774880125327206,0.9774913044718953,0.9774913044718953,0.02133042003624383,0.977480260531884,0.021323068505661954
volume-covid19-A-0073,0.012084060847391609,0.146954986760807,0.006301099089841233,0.9616385037502667,0.9602921990787282,0.9602921990787282,0.006301099089841242,0.9602825536826017,0.006078758467293499
