case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.7948394556038973,0.7844954117250033,0.8054599292566369,0.9945682151205472,0.9887138215622099,0.9887138215622099,0.8054599292566381,0.988461560887055,0.6595299350778087
volume-covid19-A-0011,0.5179294618264918,0.5252796086013667,0.5107821751324374,0.9968559381193187,0.9939272009808084,0.9939272009808084,0.5107821751324401,0.9939073250742956,0.34946343543458175
volume-covid19-A-0013,0.690357122567707,0.656639385920329,0.7277250318040395,0.9967815325968928,0.9923831826389427,0.9923831826389427,0.7277250318040418,0.9923179547803568,0.5271338732595819
volume-covid19-A-0014,0.488351288834359,0.3919161461698574,0.6477328587168295,0.9988448304718403,0.9955731820369113,0.9955731820369113,0.6477328587168404,0.9955638100374172,0.32305871412266984
volume-covid19-A-0016,0.47452407900237337,0.4404505016089301,0.5143116062153205,0.9986757316832551,0.996904087817575,0.996904087817575,0.5143116062153261,0.996899754103908,0.31106625314154324
volume-covid19-A-0025,0.49422850939531937,0.8301713701339208,0.3518474845272769,0.9395122278137988,0.9353520393371582,0.9353520393371582,0.35184748452727727,0.9332434491953069,0.3282227831241843
volume-covid19-A-0031,0.1901476482971415,0.4402583962075109,0.12125990768155599,0.9717084606553503,0.9670372009277344,0.9670372009277344,0.12125990768155653,0.9669091486999749,0.10506251966810203
volume-covid19-A-0034,0.4694642475584024,0.7380973592581842,0.34419373544863574,0.9547977785938745,0.9480494874896426,0.9480494874896426,0.3441937354486364,0.9468273040671384,0.3067319706903201
volume-covid19-A-0038,0.39391920325430646,0.5885465786440014,0.29602593158698426,0.9906744567459984,0.9880128340287642,0.9880128340287642,0.29602593158699203,0.9879659554142234,0.2452673639162427
volume-covid19-A-0039,0.604941947007948,0.5375661375659954,0.6916269571134473,0.9996538893515579,0.9989875793457031,0.9989875793457031,0.6916269571136828,0.9989867939626053,0.43363209560392657
volume-covid19-A-0041,0.6016379930201101,0.6713240186293947,0.5450587861455268,0.9952102719710414,0.9924651436183763,0.9924651436183763,0.5450587861455354,0.9924220259329182,0.43024480786595765
