case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.0,0.0,0.0,1.0,0.9903214313729932,0.9903214313729932,nan,0.9903214313729932,0.0
volume-covid19-A-0011,0.06675804936657163,0.053419666000934576,0.0889740164376767,0.9986696700374491,0.9963762566849992,0.9963762566849992,0.0889740164376775,0.9963757869525778,0.03453165773932152
volume-covid19-A-0013,0.0,0.0,0.0,1.0,0.9937071433434119,0.9937071433434119,nan,0.9937071433434119,0.0
volume-covid19-A-0014,0.0,0.0,0.0,0.9999994924917629,0.9986983345938729,0.9986983345938729,0.0,0.9986983345938729,0.0
volume-covid19-A-0016,0.0,0.0,0.0,0.9985191140836078,0.997378151172416,0.997378151172416,0.0,0.997378151172416,0.0
volume-covid19-A-0025,0.00014905943496536816,7.456491372839464e-05,0.15789473684127425,0.9999897359904287,0.9748315029456968,0.9748315029456968,0.15789473684210525,0.9748314557274785,7.45352725754918e-05
volume-covid19-A-0031,8.754459302707278e-06,1.6130593283220697e-05,6.00741314782438e-06,0.9912731739800712,0.98806193103529,0.98806193103529,6.007413147824415e-06,0.9880619304114527,4.3772488115769475e-06
volume-covid19-A-0034,0.0,0.0,0.0,0.9999999999999999,0.9808500784414785,0.9808500784414785,nan,0.9808500784414785,0.0
volume-covid19-A-0038,0.00020001889067300691,0.0008808847998433551,0.00011281800575371759,0.990768453573766,0.9895993435021603,0.9895993435021603,0.00011281800575371829,0.9895993326815974,0.00010001944822604395
volume-covid19-A-0039,0.0,0.0,0.0,0.9999937640372792,0.9991453806559245,0.9991453806559245,0.0,0.9991453806559245,0.0
volume-covid19-A-0041,0.01175137711450556,0.02843583974589196,0.007405984863033561,0.989138887696018,0.9864088246520136,0.9864088246520136,0.007405984863033598,0.9864077262996811,0.005910416322809334
volume-covid19-A-0044,0.0,0.0,0.0,0.9999183982805945,0.9994954501881319,0.9994954501881319,0.0,0.9994954501881319,0.0
