case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.0162729574000189,0.008205400298335871,0.9686813186811856,0.9999749506648948,0.9144092359040913,0.9952179758172286,0.3550824175824176,0.9952167345607998,0.05147249158718464
study_0256,0.062359399936163386,0.03219837304046302,0.9855326876513119,0.9999176493991505,0.8563312628330328,0.9923262962928185,0.12962066182405166,0.992321471496278,0.07568599267174853
study_0257,0.1385522614514864,0.07452507892851609,0.9835892660306266,0.9997985431884557,0.8707888753790605,0.9888777481882196,0.010167623246797673,0.9888765533760585,0.009565186297647143
study_0258,0.05952628067314103,0.030693455350282648,0.9819615996086284,0.9999391846120161,0.9055737751286205,0.9947813080578316,0.0065121682768741595,0.9947812046326974,0.0037831021437578815
study_0259,0.11291708461403967,0.059924487381443924,0.9761404561824522,0.9998754957656812,0.9262370547732791,0.9940761875461888,0.02163008060367004,0.994075571240748,0.017257893476550473
study_0260,0.40597720539339244,0.2557128272770118,0.9844960246216947,0.9994479816286093,0.9097878305535567,0.9682193555329975,0.03459220312900744,0.968184894261519,0.03295944674559828
study_0261,0.08058474664446984,0.04199947127844418,0.9913071302863714,0.9999273747671423,0.8421452219893293,0.9921870347930164,0.0,0.9921870347930164,0.0
study_0262,0.09224845584106518,0.048401255426351875,0.9804319584280412,0.9998924534928292,0.9045751471268503,0.9944783260947779,0.007530854173432933,0.9944781204407023,0.0066997742663656885
study_0263,0.08771331298450481,0.045900800175265405,0.9847916478351039,0.9999331055875121,0.9176651182628813,0.9942210969470796,0.004316189098797794,0.9942209966941442,0.0029929329175611514
study_0264,0.19861502217075033,0.11041495788684562,0.9871786784418783,0.9998308725954731,0.9060019516363377,0.9866854970048113,0.0060794827314303735,0.9866845418215258,0.005358855665373869
study_0265,0.06662018763621184,0.03448565910814005,0.9771643906209425,0.9999365767568393,0.929500496905783,0.9943190864894701,0.0014171605256377221,0.9943190657606451,0.0006418859777090506
study_0266,0.024292915698669523,0.012303750155517464,0.9501226492230272,0.9999714122523101,0.9581093507654527,0.999176586375517,0.0002044153720359771,0.9991765862831324,0.00013623978201634878
study_0267,0.03782996964459715,0.019285003487408928,0.985830128740972,0.9999612061611023,0.8795634821841591,0.996843137239155,0.005266677813074737,0.9968430973083356,0.003990751591549742
study_0268,0.0057835584003616885,0.0029005757716525386,0.9535333978700499,0.9999806331370453,0.8798278986021529,0.9980726907419604,0.01984511132623427,0.9980726767215721,0.00376026046682258
study_0269,0.08521663178732575,0.044539542850097515,0.9826679900014523,0.9999038702078583,0.8957432338169643,0.9930826822916666,0.06736141743861197,0.9930803789037689,0.04591293454431569
study_0270,0.026936136419062135,0.013654408678772071,0.9868951612902773,0.9999727131991215,0.8709542647652004,0.9956757089366084,0.02066532258064516,0.9956755471993974,0.008574796562476233
study_0271,0.010995827752685369,0.0055289689425692895,0.9788353001537995,0.9999818792333266,0.8690873146057129,0.9987151145935058,0.002693689071318625,0.9987151120202401,0.0015562472209871053
study_0272,0.010649240904234244,0.005354231221819098,0.9627999999998074,0.9999788641791697,0.9077797967034418,0.9991229289286846,0.0,0.9991229289286846,0.0
study_0273,0.008222335210002627,0.004128973822809153,0.953313253011843,0.9999762853659505,0.8954446254632412,0.9976287254920373,0.061746987951807226,0.9976286589231355,0.01169995923359152
study_0274,0.046022730224029806,0.023559043519185707,0.9898614679923755,0.9999607293989454,0.8632970670374428,0.9942162676555354,0.012037761144006256,0.9942160357136975,0.006885643991436879
study_0275,0.015429928435670452,0.007776018273642939,0.9825997952916464,0.9999723047423239,0.8338304307725695,0.9979828728569878,0.03064227226202661,0.9979827909475423,0.019733047705363764
study_0276,0.015260034709844864,0.007690111522847165,0.976395653802831,0.9999758643183924,0.8859545389811198,0.9962073432074653,0.011427500936680405,0.9962073039831446,0.002719450760108778
study_0277,0.21803035431500292,0.1225018083766041,0.9902069779571153,0.9998090433432802,0.8803583780924479,0.9793504657167377,0.019249773532076093,0.9793437679486241,0.015459741290461257
study_0278,0.04742723156210837,0.02430342169146994,0.9771384009193491,0.9999485065322744,0.918931410047743,0.9967585245768229,0.006690198653751436,0.99675847978653,0.004244681128095623
study_0279,0.023182083218305984,0.011728981972468265,0.9855789473683692,0.999970059049237,0.8531708135837461,0.9960131761504383,0.04278947368421052,0.9960128745536816,0.018619884112406386
study_0280,0.10299818694984117,0.0543344073845121,0.9869005034446048,0.9999107695813388,0.8958005403217516,0.9917700918097245,0.010449788023317435,0.9917695704609681,0.007638023071429436
study_0281,0.29881185331813864,0.17644630240941642,0.9749170485068634,0.999809511224551,0.9666517005776459,0.9924291934607163,0.00067151208721757,0.9924291564065203,0.0006460562068899994
study_0282,0.06855271510920856,0.03550808847804554,0.9881118624136229,0.9999234045051881,0.8532977857087788,0.9940891265869141,0.00036748493311774215,0.9940891147194204,0.000339552808950612
study_0283,0.14301336045049826,0.07712919836030774,0.9809222114892752,0.9998636909961152,0.923000800900343,0.9928871713033537,0.008352747315188362,0.992886782151004,0.007632795056856535
study_0284,0.01638507184042298,0.008261874779294668,0.9761583445792874,0.9999768887127196,0.8980653224847256,0.9973751948429987,0.16621682411156094,0.9973748153272828,0.05220216861512379
study_0285,0.07506098189438962,0.03901010606006496,0.9894927536231686,0.9999400092192726,0.8783815283524362,0.9942371970728824,0.008474235104669887,0.994236953510227,0.007280336175143099
study_0286,0.10581401608744316,0.05589159514612543,0.9907759339946116,0.9999136486827028,0.8655511809558403,0.990160593172399,0.07214702883100028,0.9901548901391384,0.05559971066003447
study_0287,0.015364628432850186,0.007742837112390091,0.982816613044678,0.9999753572284326,0.8471707188805868,0.9987780548805414,0.0,0.9987780548805414,0.0
study_0288,0.11476956320419811,0.06091924492093845,0.9890716778751916,0.9999048633097896,0.8836231637508312,0.9864250345433012,0.03746701285434579,0.9864211540127432,0.02061777192211975
study_0289,0.053108780909192084,0.027289684706277614,0.9855387029288446,0.9999425696200558,0.8779420398530506,0.9951414380754743,0.0125,0.9951412271323948,0.008856608178466212
study_0290,0.24825950506143443,0.14198173780608525,0.9872379853499021,0.9996983862112916,0.8786417938942133,0.9781139285065407,0.000992115522455901,0.978113487754797,0.0009192851444330603
study_0291,0.01391732871080759,0.0070083599251035055,0.9813515509600276,0.9999781175550937,0.8598487667921113,0.9965028530213891,0.07265509601181684,0.9965025969290182,0.020508677750560277
study_0292,0.0342844922013227,0.017445735793076823,0.9854011646715874,0.9999613952174768,0.8722797486840225,0.9960928195860328,0.020341313490779684,0.9960926367221248,0.011836129609148881
study_0293,0.015924256549921807,0.00802736167441309,0.9797877145437014,0.9999804215127978,0.8951026720878406,0.9987664834046975,0.10106142728093948,0.998766375410226,0.0662668443654672
study_0294,0.08970561722512674,0.04700024289531206,0.9816798196166604,0.9999392407008103,0.9382044474283854,0.9966943264007568,0.0005893204878548734,0.9966943203583851,0.0005526454899322409
study_0295,0.03576680920638323,0.018211275590310896,0.9933163424529026,0.9999702909990857,0.8083915710449219,0.9950433126310023,0.039347758244044524,0.9950426147717871,0.027616040301531385
study_0296,0.3082921027891596,0.1828482300082704,0.981992797118841,0.9996558534108877,0.923623056122751,0.9823915886156487,0.0125250100040016,0.9823877651587941,0.012178672407979041
study_0297,0.07408596918863507,0.03849637793968073,0.9811664127306379,0.9999159747565508,0.9017546759711371,0.9872943454318577,0.07224479431183342,0.9872906672446334,0.02227063980795324
study_0298,0.20114181994702449,0.11200272655689916,0.9853391232423423,0.9997872118418659,0.8992645795955214,0.9839282368504724,0.014006065618968845,0.9839253391256202,0.011091945238979018
study_0299,0.049230285010931636,0.025249549444632105,0.9796886184681022,0.999952799278307,0.9193364143371582,0.9958077430725097,0.018163922691481746,0.9958075807454856,0.009151358052518878
study_0300,0.08672361153991275,0.04537224885603806,0.9786015112101766,0.9999312535013705,0.938074158459175,0.9967888622749143,0.000650315867707172,0.9967888560007585,0.0006080963687959692
study_0301,0.09486144759665689,0.04983638287536852,0.9825896503080968,0.9999031558793878,0.9060062315405869,0.994896865472561,0.0010394238622020936,0.9948968388834677,0.0010199621156928456
study_0302,0.05626701019807082,0.028956695167625498,0.9896296884933052,0.9999421773933324,0.8445277330352039,0.9947971250952744,0.0003575969485060394,0.9947971163817704,0.0003217848332081948
study_0303,0.02949639828298402,0.014973073251562462,0.9819977319976856,0.999961453504377,0.8786728437556777,0.9954608651094659,0.02097902097902098,0.9954606863105883,0.00860298391784538
study_0304,0.20601310575955484,0.1151504148985256,0.9767277726856005,0.9997415117561246,0.9235771923530393,0.9894406388445598,0.004408799266727772,0.9894401662612516,0.00422033481907837
