case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.0,0.0,0.0,0.9954297919022408,0.9954297919022409,0.9954297919022409,nan,0.9954297919022409,0.0
study_0256,0.0,0.0,0.0,0.9959171979855267,0.9959171979855268,0.9959171979855268,nan,0.9959171979855268,0.0
study_0257,0.0,0.0,0.0,0.9992272226434004,0.9992272226434005,0.9992272226434005,nan,0.9992272226434005,0.0
study_0258,0.0,0.0,0.0,0.9977848704268291,0.9977848704268293,0.9977848704268293,nan,0.9977848704268293,0.0
study_0259,0.0,0.0,0.0,0.9986775372479411,0.9986775372479413,0.9986775372479413,nan,0.9986775372479413,0.0
study_0260,0.0,0.0,0.0,0.9973656503777754,0.9973656503777755,0.9973656503777755,nan,0.9973656503777755,0.0
study_0261,0.0,0.0,0.0,0.9991655117127952,0.9991655117127953,0.9991655117127953,nan,0.9991655117127953,0.0
study_0262,0.0,0.0,0.0,0.9993492929559004,0.9993492929559005,0.9993492929559005,nan,0.9993492929559005,0.0
study_0263,0.0,0.0,0.0,0.9982056390671501,0.9982056390671503,0.9982056390671503,nan,0.9982056390671503,0.0
study_0264,0.0,0.0,0.0,0.9983415371034202,0.9983415371034203,0.9983415371034203,nan,0.9983415371034203,0.0
study_0265,0.0,0.0,0.0,0.9968865436056384,0.9968865436056386,0.9968865436056386,nan,0.9968865436056386,0.0
study_0267,0.0,0.0,0.0,0.9992194928620989,0.9992194928620991,0.9992194928620991,nan,0.9992194928620991,0.0
study_0268,0.0,0.0,0.0,0.9984247074570765,0.9984247074570767,0.9984247074570767,nan,0.9984247074570767,0.0
study_0269,0.0,0.0,0.0,0.9973585946219307,0.9973585946219308,0.9973585946219308,nan,0.9973585946219308,0.0
study_0270,0.0,0.0,0.0,0.9974107327668562,0.9974107327668563,0.9974107327668563,nan,0.9974107327668563,0.0
study_0271,0.0,0.0,0.0,0.9994545936584471,0.9994545936584472,0.9994545936584472,nan,0.9994545936584472,0.0
study_0272,0.0,0.0,0.0,0.9996384285591742,0.9996384285591744,0.9996384285591744,nan,0.9996384285591744,0.0
study_0273,0.0,0.0,0.0,0.9980272146371693,0.9980272146371695,0.9980272146371695,nan,0.9980272146371695,0.0
study_0274,0.0,0.0,0.0,0.997467320139815,0.9974673201398152,0.9974673201398152,nan,0.9974673201398152,0.0
study_0275,0.0,0.0,0.0,0.9992268032497829,0.999226803249783,0.999226803249783,nan,0.999226803249783,0.0
study_0276,0.0,0.0,0.0,0.9970916748046873,0.9970916748046875,0.9970916748046875,nan,0.9970916748046875,0.0
study_0277,0.0,0.0,0.0,0.9955462831439392,0.9955462831439394,0.9955462831439394,nan,0.9955462831439394,0.0
study_0278,0.0,0.0,0.0,0.9987962510850693,0.9987962510850694,0.9987962510850694,nan,0.9987962510850694,0.0
study_0279,0.0,0.0,0.0,0.9976296773770958,0.9976296773770961,0.9976296773770961,nan,0.9976296773770961,0.0
study_0280,0.0,0.0,0.0,0.997705158434416,0.9977051584344161,0.9977051584344161,nan,0.9977051584344161,0.0
study_0282,0.0,0.0,0.0,0.9995485606946442,0.9995485606946444,0.9995485606946444,nan,0.9995485606946444,0.0
study_0283,0.0,0.0,0.0,0.9993274967844892,0.9993274967844893,0.9993274967844893,nan,0.9993274967844893,0.0
study_0284,0.0,0.0,0.0,0.9979558113293768,0.997955811329377,0.997955811329377,nan,0.997955811329377,0.0
study_0285,0.0,0.0,0.0,0.9991398861533716,0.9991398861533717,0.9991398861533717,nan,0.9991398861533717,0.0
study_0286,0.0,0.0,0.0,0.9970311420719796,0.9970311420719798,0.9970311420719798,nan,0.9970311420719798,0.0
study_0287,0.0,0.0,0.0,0.9999913060387898,0.9999913060387899,0.9999913060387899,nan,0.9999913060387899,0.0
study_0288,0.0,0.0,0.0,0.9934809258643615,0.9934809258643617,0.9934809258643617,nan,0.9934809258643617,0.0
study_0289,0.0,0.0,0.0,0.9985277993338447,0.9985277993338448,0.9985277993338448,nan,0.9985277993338448,0.0
study_0290,0.0,0.0,0.0,0.9983717452648072,0.9983717452648074,0.9983717452648074,nan,0.9983717452648074,0.0
study_0291,0.0,0.0,0.0,0.9973642302722464,0.9973642302722465,0.9973642302722465,nan,0.9973642302722465,0.0
study_0292,0.0,0.0,0.0,0.9982999475990852,0.9982999475990854,0.9982999475990854,nan,0.9982999475990854,0.0
study_0293,0.0,0.0,0.0,0.9994576282990283,0.9994576282990284,0.9994576282990284,nan,0.9994576282990284,0.0
study_0294,0.0,0.0,0.0,0.9997923374176024,0.9997923374176025,0.9997923374176025,nan,0.9997923374176025,0.0
study_0295,0.0,0.0,0.0,0.9983393971512956,0.9983393971512957,0.9983393971512957,nan,0.9983393971512957,0.0
study_0296,0.0,0.0,0.0,0.9992900039210462,0.9992900039210464,0.9992900039210464,nan,0.9992900039210464,0.0
study_0297,0.0,0.0,0.0,0.9907214694552949,0.9907214694552952,0.9907214694552952,nan,0.9907214694552952,0.0
study_0298,0.0,0.0,0.0,0.9964383147483646,0.9964383147483649,0.9964383147483649,nan,0.9964383147483649,0.0
study_0299,0.0,0.0,0.0,0.9978619575500487,0.9978619575500488,0.9978619575500488,nan,0.9978619575500488,0.0
study_0300,0.0,0.0,0.0,0.9997894473192167,0.9997894473192168,0.9997894473192168,nan,0.9997894473192168,0.0
study_0301,0.0,0.0,0.0,0.9998991431259525,0.9998991431259527,0.9998991431259527,nan,0.9998991431259527,0.0
study_0302,0.0,0.0,0.0,0.9994771073504191,0.9994771073504192,0.9994771073504192,nan,0.9994771073504192,0.0
study_0303,0.0,0.0,0.0,0.9972596279410427,0.9972596279410428,0.9972596279410428,nan,0.9972596279410428,0.0
study_0304,0.0,0.0,0.0,0.9995019494033439,0.9995019494033441,0.9995019494033441,nan,0.9995019494033441,0.0
