case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.10171695586023302,0.25772086280366696,0.0633623692438959,0.9825089809888031,0.9791965484619141,0.9791965484619141,0.06336236924389625,0.9791720164719898,0.05358366139035284
study_0256,0.03774377711806337,0.14848709901535306,0.021619622999539487,0.9724524215824687,0.9690883343036358,0.9690883343036358,0.021619622999539564,0.9690695829416003,0.019234887206844863
study_0257,0.05822312421478283,0.508703559366003,0.030878653829473256,0.9876526230151497,0.9872825020237973,0.9872825020237973,0.030878653829473503,0.987277500623647,0.029984456474299585
study_0258,0.20299053356282115,0.5548135080644928,0.12421945531146437,0.9913160978790192,0.9903491880835557,0.9903491880835557,0.12421945531146554,0.9903373127974293,0.11296019155941335
study_0259,0.069096261932375,0.2415217899742542,0.040314919643437565,0.9923866213403579,0.9913936305690456,0.9913936305690456,0.04031491964343809,0.991390880785625,0.0357844156444198
study_0260,0.0772681716222017,0.3084749637984792,0.04416546636986576,0.9823664877410989,0.9805912218595806,0.9805912218595806,0.044165466369866006,0.980575436859269,0.04018666070940998
study_0261,0.05448052020979069,0.5408629724606376,0.02868496212591564,0.9847040698169789,0.9843336896198552,0.9843336896198552,0.028684962125915807,0.9843266155347088,0.028003071043866283
study_0262,0.018849635999917118,0.07050293119406502,0.010879139191086941,0.9958262137882608,0.9952240994102076,0.9952240994102076,0.0108791391910872,0.9952238802973392,0.009514490339773484
study_0263,0.06071309624568772,0.5028851994330582,0.032306736775699764,0.9729228304398098,0.9720794132777623,0.9720794132777623,0.03230673677569987,0.9720541961705302,0.031306918088371535
study_0264,0.03964154546790046,0.18922861150069065,0.022139809648834777,0.9861159456514718,0.9847943375750285,0.9847943375750285,0.02213980964883492,0.9847895641047525,0.020221580076977493
study_0265,0.10444182025560274,0.34511506499040207,0.06153152083580643,0.9835607116831431,0.9815729390019956,0.9815729390019956,0.06153152083580672,0.9815531178140654,0.05509818763235557
study_0266,0.023456953238543153,0.4712127398936418,0.012027849578920911,0.989361925389377,0.9892195533303654,0.9892195533303654,0.012027849578921038,0.9892181573479124,0.011867666265593024
study_0267,0.015924810073368153,0.20463022508035952,0.008284775488312227,0.9808666066487656,0.9802607486122533,0.9802607486122533,0.00828477548831227,0.9802575954471745,0.008026313798096084
study_0268,0.034890405953015416,0.4220870642563258,0.018197312770410326,0.9640693646549114,0.9632155839786973,0.9632155839786973,0.018197312770410368,0.9631911093569583,0.01775494153542934
study_0269,0.041085492398481714,0.16099305412281958,0.023547399073594308,0.9823193150766516,0.9801498594738188,0.9801498594738188,0.023547399073594422,0.9801414146517253,0.0209736015732441
study_0270,0.09373756136393756,0.40729590366074986,0.052963445768379976,0.9810938373136473,0.9796081211255945,0.9796081211255945,0.05296344576838019,0.9795865931888732,0.049173481816599966
study_0271,0.0,0.0,0.0,0.9915632009454923,0.9910223960876465,0.9910223960876465,0.0,0.9910223960876465,0.0
study_0272,0.020821263875049123,0.5124037639006238,0.01062653381035445,0.9827443184027426,0.9825742566907728,0.9825742566907728,0.010626533810354513,0.9825710276151733,0.0105201533823142
study_0273,0.1153933810740454,0.4769696068223275,0.06563640705488988,0.986578555266666,0.9855732061924078,0.9855732061924078,0.06563640705489032,0.985559618390295,0.06122942576727727
study_0274,0.00973002213633416,0.05021858124242128,0.00538687368234388,0.9764569104412469,0.9741110452791539,0.9741110452791539,0.0053868736823439005,0.9741077521065623,0.004888795110489631
study_0275,0.017665702902222562,0.2924021488871513,0.009107984427293186,0.9753843927210496,0.9748563130696615,0.9748563130696615,0.009107984427293218,0.9748506271890185,0.008911565989695062
study_0276,0.03341680894302703,0.15888422525358056,0.018671964649665102,0.9756436141216094,0.9732682122124566,0.9732682122124566,0.018671964649665165,0.9732558540904276,0.016992319010449137
study_0277,0.04867212460063883,0.20245016611295158,0.027661143894688964,0.9681633919415006,0.9647531220407197,0.9647531220407197,0.02766114389468906,0.9647213128107156,0.024943078615467268
study_0278,0.0,0.0,0.0,0.9881859877714668,0.9869964599609375,0.9869964599609375,0.0,0.9869964599609375,0.0
study_0279,0.09204271257247791,0.802559271471157,0.04882090564379782,0.962848899521638,0.9624689613900533,0.9624689613900533,0.048820905643797936,0.9623974291020295,0.04824149533063097
study_0280,0.12106136558876354,0.7674978127733697,0.06571333330836365,0.9749011230139579,0.9744251652767784,0.9744251652767784,0.06571333330836389,0.9743800412050491,0.0644307181573806
study_0281,0.038657037322894994,0.4319862000984643,0.0202338492791761,0.9938886534605019,0.9937245350963665,0.9937245350963665,0.020233849279176333,0.9937237432027733,0.019709473589530256
study_0282,0.01863175634756663,0.5986213030908163,0.009463145757754685,0.971700240283821,0.9715318177875719,0.9715318177875719,0.009463145757754718,0.9715241224326675,0.009403479846442431
study_0283,0.00021873462022201166,0.0008301051466517944,0.0001259630928138029,0.9955657353410529,0.9948967724311643,0.9948967724311643,0.00012596309281380556,0.9948967695822941,0.00010937927262783702
study_0284,0.01772480998965728,0.08938226709411505,0.009837844100716722,0.981572457611046,0.9797486525315505,0.9797486525315505,0.009837844100716772,0.9797449516462351,0.008941649514144848
study_0285,0.006502534236827918,0.03466386554621444,0.0035877798045444776,0.991712569517399,0.9908893986752159,0.9908893986752159,0.003587779804544521,0.9908891270357162,0.0032618723366867283
study_0286,0.044958253050738486,0.2786047823497985,0.024452029738508994,0.9669019069157831,0.9648584505406822,0.9648584505406822,0.02445202973850906,0.9648293595669025,0.022996057818659658
study_0287,0.0,0.0,0.0,0.9988075862390784,0.9987989026446675,0.9987989026446675,0.0,0.9987989026446675,0.0
study_0288,0.1620294525017744,0.6692480079681191,0.09217252040076185,0.9567470896490061,0.9548728618216007,0.9548728618216007,0.09217252040076201,0.9546751149057138,0.08815671868209363
study_0289,0.03215826926924055,0.27768523659693517,0.017067408870805604,0.9764215211810905,0.9753928411574591,0.9753928411574591,0.01706740887080567,0.9753827774303268,0.01634189821622426
study_0290,0.05904782656062725,0.3543641712977904,0.03220726743322324,0.9826336579574007,0.9816106751907704,0.9816106751907704,0.0322072674332234,0.9816000585139585,0.030422092501122586
study_0291,0.13840972474172727,0.6665960676338498,0.07722190871097775,0.9789489788541055,0.9781256885063357,0.9781256885063357,0.07722190871097807,0.9780871878326259,0.07435026202128456
study_0292,0.0622667494695845,0.8697460595446109,0.03228919677270569,0.9556103135690021,0.9554643398377953,0.9554643398377953,0.03228919677270575,0.9553983912802184,0.03213380864086445
study_0293,0.005866030320431027,0.15383228133450785,0.002990023906170025,0.9721641198226161,0.9717202797914163,0.9717202797914163,0.0029900239061700353,0.9717179200965531,0.0029416430438591046
study_0294,0.006113608204534505,0.12935323383079628,0.003130789181178185,0.9914451953804913,0.9912661711374918,0.9912661711374918,0.003130789181178214,0.9912659365245935,0.003066176804100331
study_0295,0.020467126400580855,0.262158225011191,0.01064926611330234,0.9594881890644371,0.9583302009396437,0.9583302009396437,0.010649266113302365,0.958312052479586,0.010339371815212732
study_0296,0.013635814009729174,0.23868446760009138,0.007018383761011074,0.9760065520596068,0.975483056270715,0.975483056270715,0.007018383761011107,0.975478900801754,0.0068647099589803145
study_0297,0.17440615250671065,0.2745262850147069,0.12779802739865803,0.9824529354174448,0.9758844163682726,0.9758844163682726,0.12779802739865856,0.9758228322740488,0.09553392872471998
study_0298,0.21388621882617198,0.6567699511806153,0.12774389209981868,0.9839704153580593,0.9828050302904706,0.9828050302904706,0.1277438920998193,0.9827647133727151,0.11974949249067864
study_0299,0.2635365391896984,0.6209019135554387,0.1672654738587596,0.9933767808962738,0.9925804138183594,0.9925804138183594,0.16726547385876162,0.9925705511161362,0.15176624509376363
study_0300,0.035712955721892606,0.4237737516569051,0.018641992107769404,0.9953019089321892,0.995181572146532,0.995181572146532,0.018641992107769765,0.9951811421757532,0.018181128784575427
study_0301,0.0077067624461833045,0.1494464944648068,0.003955367824791759,0.9962039933673401,0.996118592052925,0.996118592052925,0.003955367824791855,0.9961185335487213,0.0038682872083860647
study_0302,0.0,0.0,0.0,0.9935566775184865,0.9930371540348705,0.9930371540348705,0.0,0.9930371540348705,0.0
study_0303,0.0010739605545593142,0.012301715765619543,0.0005614897801471981,0.9398298346579425,0.9372880625170331,0.9372880625170331,0.000561489780147199,0.9372859483461932,0.0005372687800181258
study_0304,0.016524019878520098,0.4472258546608542,0.00841751433684822,0.9737480417826267,0.9734858070931783,0.9734858070931783,0.00841751433684825,0.9734798999768275,0.008330839417328425
