case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.13847780558401898,0.4083794847098385,0.08337470934376788,0.9520748567712681,0.9463325500488281,0.9463325500488281,0.08337470934376828,0.9461000715161422,0.07438955388198554
study_0256,0.15732904199944214,0.19922012578615853,0.12999441872681097,0.989814015794339,0.9838199615478516,0.9838199615478516,0.12999441872681308,0.9837954857734375,0.08538097445794564
study_0257,0.11097392953638394,0.42695855707002245,0.06377509049029155,0.9709229874022813,0.9684111277262369,0.9684111277262369,0.06377509049029285,0.96834872525343,0.058746637365968246
study_0258,0.6549172263335618,0.6834211231139772,0.6286957950065445,0.9978326432404211,0.9961533546447754,0.9961533546447754,0.6286957950065704,0.9961392622243536,0.4868973413051775
study_0259,0.04360117862546743,0.23050205241551094,0.024077840690451057,0.9574809199430361,0.9541873931884766,0.9541873931884766,0.02407784069045132,0.9541395022916883,0.022286446990820833
study_0260,0.23810167658193415,0.6730686541493157,0.14463323238026646,0.9598708422658278,0.9570083618164062,0.9570083618164062,0.14463323238026796,0.9567176044519036,0.13513928324764024
study_0261,0.8253081795272883,0.8875054928957247,0.7712576374744435,0.9991403250690678,0.998776912689209,0.998776912689209,0.7712576374745418,0.9987733687597825,0.702574211502783
study_0262,0.5505532561871315,0.5100156494521894,0.5980913929160215,0.9988023742520302,0.9971002851213727,0.9971002851213727,0.5980913929161314,0.9970951260243625,0.3798368298368298
study_0263,0.10148233447509443,0.41750150875072917,0.05776119029131029,0.9745824096968428,0.9725110671099495,0.9725110671099495,0.05776119029131077,0.9724683281155537,0.05345345809412692
study_0264,0.2970843940631083,0.5149446340853788,0.20876227765213456,0.992519426610635,0.9906959533691406,0.9906959533691406,0.20876227765214161,0.9906776241000681,0.1744563224550814
study_0265,0.29914350049453586,0.42108537235616983,0.23196801566579256,0.9904861109145824,0.9866268760279605,0.9866268760279605,0.23196801566579633,0.9865885999475287,0.17587815349591082
