case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.0023642645230668147,0.0034046478935113255,0.0018108957508207234,0.9913837772008841,0.9868685069837069,0.9868685069837069,0.0018108957508207446,0.986868302655161,0.0011835313521273022
study_0256,0.0001901577867402529,0.0010301621906518524,0.00010474647698622437,0.9596860106807438,0.9557720086513422,0.9557720086513422,0.00010474647698622462,0.9557718226299162,9.508793422568568e-05
study_0257,0.0,0.0,0.0,0.9941150964448257,0.9933468668084395,0.9933468668084395,0.0,0.9933468668084395,0.0
study_0258,0.0,0.0,0.0,0.9999930064035233,0.997777892322075,0.997777892322075,0.0,0.997777892322075,0.0
study_0259,0.0,0.0,0.0,0.998681051083358,0.9973603325921137,0.9973603325921137,0.0,0.9973603325921137,0.0
study_0260,0.0,0.0,0.0,0.9996966351055786,0.9970630846525493,0.9970630846525493,0.0,0.9970630846525493,0.0
study_0261,0.0004982415005861592,0.0018954175493363925,0.00028681817414924184,0.9944823206398026,0.993654018495141,0.993654018495141,0.00028681817414924666,0.9936540084576624,0.0002491828269058822
study_0262,0.0,0.0,0.0,0.9999042691152877,0.9992536243639494,0.9992536243639494,0.0,0.9992536243639494,0.0
study_0263,0.0,0.0,0.0,0.999725848958335,0.9979319799514044,0.9979319799514044,0.0,0.9979319799514044,0.0
study_0264,0.0,0.0,0.0,0.9999932898909689,0.9983348381228563,0.9983348381228563,0.0,0.9983348381228563,0.0
study_0265,0.0,0.0,0.0,0.9999965893247527,0.9968831435493801,0.9968831435493801,0.0,0.9968831435493801,0.0
study_0266,0.0,0.0,0.0,0.9999983165827706,0.9997235466452206,0.9997235466452206,0.0,0.9997235466452206,0.0
study_0267,0.004029012842478415,0.052475884244366236,0.0020949290394134093,0.9804747924313949,0.9797504826595909,0.9797504826595909,0.0020949290394134197,0.9797496532498938,0.0020185728492056816
study_0268,0.0,0.0,0.0,0.9995004635950182,0.9979259579680687,0.9979259579680687,0.0,0.9979259579680687,0.0
study_0269,0.0,0.0,0.0,0.9833338888400163,0.9807365054175967,0.9807365054175967,0.0,0.9807365054175967,0.0
study_0270,0.0,0.0,0.0,0.9978641270878055,0.9952803902004076,0.9952803902004076,0.0,0.9952803902004076,0.0
study_0271,0.0,0.0,0.0,0.9996504784666395,0.9991052627563477,0.9991052627563477,0.0,0.9991052627563477,0.0
study_0272,4.543974311398525e-05,0.0008554319931563002,2.3339764735171287e-05,0.9867434640140322,0.9863869950578019,0.9863869950578019,2.333976473517147e-05,0.9863869908473012,2.272038776128446e-05
study_0273,0.0,0.0,0.0,0.9999553092205015,0.9979826120229868,0.9979826120229868,0.0,0.9979826120229868,0.0
study_0274,0.004386577801000016,0.01326181991844483,0.002627900882275845,0.9872199373864518,0.9847532132776772,0.9847532132776772,0.002627900882275864,0.9847527011522541,0.0021981099907448
study_0275,0.0,0.0,0.0,0.9979291374768511,0.9971575419108073,0.9971575419108073,0.0,0.9971575419108073,0.0
study_0276,0.0,0.0,0.0,0.9986526298034069,0.9957482231987848,0.9957482231987848,0.0,0.9957482231987848,0.0
study_0277,4.8116827657551955e-05,5.191029900332092e-05,4.484003318162355e-05,0.9948211983339028,0.9903907775878906,0.9903907775878906,4.484003318162455e-05,0.9903907753662977,2.4058992649977745e-05
study_0278,0.0,0.0,0.0,0.9999999999999999,0.9987962510850694,0.9987962510850694,nan,0.9987962510850694,0.0
study_0279,6.8404465834412e-05,0.0002747684094834246,3.906489795690562e-05,0.9832890461003794,0.9809589851193312,0.9809589851193312,3.906489795690584e-05,0.9809589727181047,3.4203402749953584e-05
study_0280,0.0,0.0,0.0,0.9999958746754575,0.99770104257684,0.99770104257684,0.0,0.99770104257684,0.0
study_0281,0.0,0.0,0.0,0.9999999999999999,0.9997079237452093,0.9997079237452093,nan,0.9997079237452093,0.0
study_0282,0.002060210209360367,0.08094285078939716,0.001043383543777676,0.9649993095292494,0.9646002116956209,0.9646002116956209,0.001043383543777679,0.9645989181123225,0.0010311673153955547
study_0283,0.0,0.0,0.0,0.9999986965438673,0.9993261942049352,0.9993261942049352,0.0,0.9993261942049352,0.0
study_0284,7.866737467303821e-05,0.00028709507631942736,4.557815894623262e-05,0.9870979465567846,0.9850807189941406,0.9850807189941406,4.557815894623296e-05,0.9850807102383601,3.9335234536335925e-05
study_0285,0.0060277275467147074,0.011671335200745602,0.004063058670567038,0.9975372012027844,0.9966892443205181,0.9966892443205181,0.004063058670567203,0.9966892110845775,0.003022974607013301
study_0286,7.764125856479983e-05,6.26782412485486e-05,0.00010198878123405905,0.9981702119121928,0.9952069724478373,0.9952069724478373,0.00010198878123406426,0.9952069715559372,3.882213638216511e-05
study_0287,0.0,0.0,0.0,0.9796050316826668,0.9795965150345204,0.9795965150345204,0.0,0.9795965150345204,0.0
study_0288,0.00028370806440172725,0.00014940239043824513,0.0028076743097794083,0.9996518101298252,0.9931359798350232,0.9931359798350232,0.0028076743097800653,0.9931359731496996,0.00014187415762218912
study_0289,0.0,0.0,0.0,0.9999611600642867,0.998489016578311,0.998489016578311,0.0,0.998489016578311,0.0
study_0290,0.0,0.0,0.0,0.9999999999999999,0.9983717452648074,0.9983717452648074,nan,0.9983717452648074,0.0
study_0291,0.0,0.0,0.0,0.9998760212041987,0.9972405782560023,0.9972405782560023,0.0,0.9972405782560023,0.0
study_0292,0.0,0.0,0.0,0.9999750224425216,0.9982750125047637,0.9982750125047637,0.0,0.9982750125047637,0.0
study_0293,0.0,0.0,0.0,0.9998692512510432,0.9993269504644932,0.9993269504644932,0.0,0.9993269504644932,0.0
study_0294,0.0,0.0,0.0,0.9999999999999999,0.9997923374176025,0.9997923374176025,nan,0.9997923374176025,0.0
study_0295,0.0,0.0,0.0,0.9957662849103488,0.9941127125809832,0.9941127125809832,0.0,0.9941127125809832,0.0
study_0296,0.0,0.0,0.0,0.9999999999999998,0.9992900039210464,0.9992900039210464,nan,0.9992900039210464,0.0
study_0297,0.00796359985474117,0.008514992599630816,0.00747927550537266,0.9894174103831033,0.9803160773383246,0.9803160773383246,0.00747927550537272,0.9803145220552704,0.003997718040775008
study_0298,0.0,0.0,0.0,0.9984492582115951,0.994893096214117,0.994893096214117,0.0,0.994893096214117,0.0
study_0299,0.0,0.0,0.0,0.9996992356456698,0.9975618362426758,0.9975618362426758,0.0,0.9975618362426758,0.0
study_0300,0.0010726736390450327,0.0008837825894825967,0.0013642564802173504,0.999863758709229,0.9996534207972084,0.9996534207972084,0.001364256480218281,0.999653420732716,0.0005366246310705661
study_0301,0.0,0.0,0.0,0.9993746056973131,0.9992738118985804,0.9992738118985804,0.0,0.9992738118985804,0.0
study_0302,0.0,0.0,0.0,0.9913348967500765,0.990816535019293,0.990816535019293,0.0,0.990816535019293,0.0
study_0303,0.0,0.0,0.0,0.9973288681328905,0.994595815969068,0.994595815969068,0.0,0.994595815969068,0.0
study_0304,0.0,0.0,0.0,0.9999556902266509,0.9994576616985041,0.9994576616985041,0.0,0.9994576616985041,0.0
