case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.593378083219,0.4379377852454963,0.9198760884125892,0.9996820315833037,0.9950382448114033,0.9950382448114033,0.919876088412592,0.9950202164389319,0.4218461806545171
coronacases_002,0.8576383283426622,0.9021198897146059,0.8173372154579116,0.998941462236625,0.9984357643127442,0.9984357643127442,0.8173372154579143,0.9984283591157739,0.7507590193378981
coronacases_003,0.892744727112883,0.8923006675014351,0.8931892289230802,0.9973412542736475,0.99478759765625,0.99478759765625,0.8931892289230808,0.9946720185637105,0.8062682102069317
coronacases_004,0.6581772763366834,0.583467765589249,0.7548284890339155,0.9996341437727065,0.998832278781467,0.998832278781467,0.7548284890339227,0.9988309645289462,0.49050986000579455
coronacases_005,0.8561111248832786,0.8812511695690832,0.8323656697231938,0.9995873448536696,0.9993128414811759,0.9993128414811759,0.8323656697231983,0.9993114338933435,0.7484215849165643
coronacases_006,0.8667643606984663,0.8935375195518718,0.8415489410994382,0.9995480279353897,0.9992639962496332,0.9992639962496332,0.8415489410994434,0.9992622300017359,0.7648580142014407
coronacases_007,0.8355146650459473,0.8832247773494568,0.7926948084226394,0.9993593196621269,0.9990380834862889,0.9990380834862889,0.7926948084226433,0.9990357277104409,0.7174969404650493
coronacases_008,0.8568341806533768,0.8392258101891648,0.8751972933988821,0.9991563306729918,0.9980367489431388,0.9980367489431388,0.8751972933988839,0.9980251468031449,0.7495274667529003
coronacases_009,0.638715334644907,0.7001476380147785,0.5871938172405,0.9983501001806587,0.9973538666963577,0.9973538666963577,0.5871938172405021,0.9973476627464439,0.4692004184725751
coronacases_010,0.8495899978866468,0.842114339017338,0.8571995721300186,0.9984467579607419,0.9967348219152304,0.9967348219152304,0.8571995721300197,0.996704431269759,0.7385106147598802
