case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.6441726924925381,0.4941889254609529,0.9248641483666218,0.9996653421390386,0.995486706198252,0.995486706198252,0.9248641483666245,0.9954681922894509,0.47511411588012564
coronacases_002,0.6647766114451085,0.7599576387240464,0.5907837921470307,0.9972361979343674,0.9959968948364257,0.9959968948364257,0.5907837921470324,0.9959809421923266,0.49787669774463433
coronacases_003,0.6991768167966853,0.6087953591860683,0.8210728918008354,0.9966943278709727,0.9872640609741211,0.9872640609741211,0.8210728918008363,0.9870727307916758,0.5374879736344663
coronacases_004,0.7343254779246687,0.8035871414325043,0.6760558167079945,0.9992566514912892,0.9988796375415944,0.9988796375415944,0.6760558167079986,0.9988779001458766,0.580185083223921
coronacases_005,0.7566274000556511,0.6938479248300188,0.8318976360286313,0.9996740079719785,0.9989645859290813,0.9989645859290813,0.8318976360286369,0.9989629167302266,0.6085282883743137
coronacases_006,0.6841250112312413,0.6107471825242937,0.7775423368223915,0.999530573255156,0.9984889142390149,0.9984889142390149,0.777542336822398,0.9984864375030843,0.5199012193942291
coronacases_007,0.46184933775388176,0.382299836058308,0.5832030754932146,0.9992421647547649,0.9975356596061983,0.9975356596061983,0.5832030754932196,0.9975330508869811,0.3002627434944885
coronacases_008,0.705171022894056,0.6219171535073336,0.8141597324757116,0.9989992211271932,0.9963594861204838,0.9963594861204838,0.8141597324757135,0.996343567164277,0.5446055312031833
coronacases_009,0.6968867741507278,0.6088484680883304,0.8146892587928404,0.9995357829919375,0.9982305765151978,0.9982305765151978,0.8146892587928452,0.9982269701044738,0.5347860495365255
coronacases_010,0.7281005972194065,0.6464281498318399,0.8333952537618512,0.9985692059748583,0.9947130450378621,0.9947130450378621,0.8333952537618525,0.994675353004252,0.5724514027034312
