case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.26020948963782314,0.6433794162826411,0.16308366539592317,0.9439301073103962,0.9389113590635102,0.9389113590635102,0.16308366539592323,0.9382479271131654,0.14956369062138103
coronacases_002,0.14547881133873986,0.44887241042320813,0.0868062944301578,0.9659855967320337,0.9622873426317335,0.9622873426317335,0.08680629443015786,0.962165887014839,0.07844548351790902
coronacases_003,0.46615108392413074,0.6515346825646761,0.3628951658868283,0.9574226606289126,0.9464452088768802,0.9464452088768802,0.36289516588682846,0.9451630254673831,0.3039093870579581
coronacases_004,0.43195323867592667,0.6678345694066025,0.3192079558532759,0.9933269907928309,0.9918091612042121,0.9918091612042121,0.31920795585327705,0.9917835733414659,0.27547216660246965
coronacases_005,0.45174956928253945,0.5098096066492674,0.40556186203434264,0.9954554452073563,0.9925196879618877,0.9925196879618877,0.4055618620343444,0.9924965636569854,0.291780683744554
coronacases_006,0.5610805654988665,0.6858119199973153,0.474738057801214,0.9935933754482705,0.9910165001364315,0.9910165001364315,0.47473805780121614,0.9909646198440731,0.3899318836383585
coronacases_007,0.38216432652403215,0.7085852206081347,0.26163709544760727,0.9837657480040991,0.9815497171311152,0.9815497171311152,0.2616370954476078,0.9814438311381646,0.23621949545898044
coronacases_008,0.2825855435405736,0.6677864534354288,0.17921088560479906,0.969578549830896,0.9666063051957351,0.9666063051957351,0.17921088560479914,0.9663852277348054,0.1645412628720642
coronacases_009,0.4465023389913556,0.7065349694800304,0.32638122409879355,0.9887981997053487,0.9866464288385065,0.9866464288385065,0.3263812240987942,0.9865741155213739,0.2874174517272556
coronacases_010,0.30548902520951454,0.5543734209958536,0.21083516704576125,0.9636460850103673,0.9565992505138458,0.9565992505138458,0.21083516704576136,0.9561809905560181,0.1802815265019374
