case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
coronacases_001,0.7107051822803852,0.597362518760855,0.8771306242627773,0.9993024809063366,0.9959797526514808,0.9959797526514808,0.8771306242627792,0.9959598012071244,0.5512355843773696
coronacases_002,0.8523814360065339,0.8734968137747152,0.8322628235015733,0.9990756776464139,0.9984197807312012,0.9984197807312012,0.8322628235015762,0.9984125383127054,0.7427393236306953
coronacases_003,0.8961163796219048,0.8802530040702832,0.9125620080733509,0.9978984519666774,0.9950383567810058,0.9950383567810058,0.9125620080733515,0.994929855922095,0.81178519463399
coronacases_004,0.7906781899837688,0.7681190238751631,0.8146025475527566,0.9996625119630528,0.9992163764105902,0.9992163764105902,0.814602547552763,0.9992152149258243,0.6538195072932336
coronacases_005,0.8639482454420678,0.874667558847041,0.8534884879069026,0.9996508951701535,0.9993609724373653,0.9993609724373653,0.8534884879069072,0.9993596732409121,0.7604831751509923
coronacases_006,0.8825489535362582,0.8666060614162855,0.8990894401409122,0.9997387005637036,0.9993820011335919,0.9993820011335919,0.8990894401409183,0.9993805628754979,0.7897875762246197
coronacases_007,0.8448119940897697,0.8407716336567812,0.8488913742485623,0.9995848728157969,0.9991455844128467,0.9991455844128467,0.8488913742485671,0.999143592724265,0.7313199148255561
coronacases_008,0.8395679287552323,0.82161445839843,0.8583235460437584,0.9990439290669928,0.997801847236101,0.997801847236101,0.85832354604376,0.9977891310897428,0.7234959715088269
coronacases_009,0.8169736659921811,0.7500680205355079,0.8969841473041835,0.9997112492165058,0.9988772422075272,0.9988772422075272,0.8969841473041883,0.9988744217064592,0.6905794423226972
coronacases_010,0.802433512108813,0.806209508114,0.798692722032024,0.9977501779122491,0.9956526898862516,0.9956526898862516,0.798692722032025,0.995613967847502,0.6700534126684115
