case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.503552115464275,0.36140204979148527,0.8300256320923726,0.9992767016100279,0.993102988016974,0.993102988016974,0.8300256320923751,0.9930787785912413,0.336498264101261
volume-covid19-A-0011,0.08687852850118337,0.05067883397781812,0.30408592554818,0.9997179172357413,0.9974153106277054,0.9974153106277054,0.3040859255481897,0.997414992776382,0.045411924854473366
volume-covid19-A-0013,0.13662107287881997,0.09687751366852772,0.23165751400774795,0.9979652040310631,0.9922947883605957,0.9922947883605957,0.23165751400774956,0.9922900881183907,0.07331899641577061
volume-covid19-A-0014,0.20607487708074015,0.14264187305231935,0.3711062513334657,0.9996850644279036,0.9985699153446651,0.9985699153446651,0.3711062513334756,0.9985696498721193,0.11487373382975738
volume-covid19-A-0016,0.2375089664166923,0.16841141546599434,0.4027556617126592,0.9997143109530356,0.9987644184989612,0.9987644184989612,0.4027556617126681,0.9987641806826437,0.1347575459341863
volume-covid19-A-0025,0.5977443979315429,0.45250463545213565,0.8802897261333704,0.9984117728189781,0.9846765486920466,0.9846765486920466,0.8802897261333746,0.9845000792600238,0.4262734961085668
volume-covid19-A-0031,0.5922005456745996,0.4656579669000151,0.8131830985915265,0.9996523110046608,0.9979224009056614,0.9979224009056614,0.8131830985915492,0.9979192620503082,0.42065689388861366
volume-covid19-A-0034,0.28745595709519417,0.17004079946289252,0.9288103489965156,0.9997455471470958,0.9838567663122106,0.9838567663122106,0.9288103489965343,0.9838040278869522,0.16785317626495275
volume-covid19-A-0038,0.5104352644215813,0.4057453264167365,0.6879356123464414,0.9997823630134014,0.9990807735558712,0.9990807735558712,0.6879356123464985,0.9990803328450301,0.34267410622029343
volume-covid19-A-0039,0.07667731629392563,0.05395683453237005,0.13245033112580343,0.9996999102021367,0.9988975524902344,0.9988975524902344,0.13245033112582782,0.9988975020218821,0.03986710963455149
volume-covid19-A-0041,0.560267096152257,0.45053033597397574,0.7406751212234011,0.9995504687587641,0.9979902992785816,0.9979902992785816,0.740675121223424,0.9979877229852282,0.3891465525688343
volume-covid19-A-0044,0.4317979197622264,0.38541114058350323,0.4908783783782954,0.9998308476050288,0.9995709587545956,0.9995709587545956,0.4908783783783784,0.9995708887999396,0.2753458404396437
volume-covid19-A-0046,0.18577207420839467,0.12402682063698782,0.36994444444442387,0.9994056958661565,0.9969497053590539,0.9969497053590539,0.36994444444444446,0.9969486435677263,0.10239731820208824
volume-covid19-A-0047,0.4206955279639542,0.28369516893893965,0.8135890352740749,0.9998025524471117,0.9976338779225069,0.9976338779225069,0.8135890352741182,0.997631843324578,0.2663802549875637
volume-covid19-A-0053,0.23745042646818984,0.13686394238296432,0.8958290633326043,0.9998651553810629,0.992614614552465,0.992614614552465,0.8958290633326501,0.9926061125568411,0.1347198569810361
volume-covid19-A-0054,0.16424893137221813,0.09436759530224643,0.6329989622967558,0.9993446603328487,0.9886332702636719,0.9886332702636719,0.6329989622967831,0.9886205600738129,0.08947233324777236
volume-covid19-A-0066,0.22247094721807384,0.1270077537768154,0.8957340025093916,0.9996458974061238,0.9792336897416548,0.9792336897416548,0.8957340025094103,0.979171811563423,0.1251574183104888
volume-covid19-A-0070,0.0,0.0,0.0,0.9998576790560596,0.9995144588846556,0.9995144588846556,0.0,0.9995144588846556,0.0
volume-covid19-A-0072,0.0,0.0,0.0,0.9998332592235679,0.999335004137708,0.999335004137708,0.0,0.999335004137708,0.0
volume-covid19-A-0073,0.04356226945371382,0.025256297100956438,0.15829787234039183,0.9997777070266269,0.9981672623578239,0.9981672623578239,0.15829787234042553,0.9981671858611545,0.022266115999281737
volume-covid19-A-0074,0.2932315885696078,0.38816597102871214,0.2356084475857908,0.9979825569984538,0.9970072016996496,0.9970072016996496,0.2356084475857958,0.9970053424905521,0.17180514157973176
volume-covid19-A-0077,0.06528961432903867,0.07606866374955366,0.057186234817799296,0.9997812916810012,0.9996202322152945,0.9996202322152945,0.057186234817813764,0.9996202271782122,0.0337464536359564
volume-covid19-A-0083,0.295728542914148,0.45425558008328326,0.21922348484845888,0.9996005086307638,0.9994658818320622,0.9994658818320622,0.21922348484848486,0.9994658219293391,0.1735219713295231
volume-covid19-A-0090,0.22469368520259664,0.33844406587147163,0.1681715575620293,0.9998269709247177,0.9997586176945613,0.9997586176945613,0.16817155756207675,0.9997586092512344,0.12656614992567425
volume-covid19-A-0092,0.06194463431305484,0.03413499566838643,0.33428624123936423,0.9994764073610204,0.9920978186265478,0.9920978186265478,0.33428624123939504,0.992095756323233,0.03196226248732531
