case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.6033186953285179,0.47366653167533207,0.8306974954393413,0.999056529908399,0.9939715067545573,0.9939715067545573,0.8306974954393432,0.9939437423620536,0.431965898956761
volume-covid19-A-0011,0.48155614926914014,0.33939574214932045,0.8286451646370614,0.9998293034319143,0.9982269261334393,0.9982269261334393,0.8286451646370722,0.9982254648763262,0.31713793634012816
volume-covid19-A-0013,0.5259995673091771,0.3720025413553107,0.897560666896366,0.9997311325278186,0.995780926484328,0.995780926484328,0.8975606668963723,0.9957710266324639,0.3568517048186708
volume-covid19-A-0014,0.8068730414161048,0.7812653764146221,0.8342162872154024,0.9997977179010656,0.9995133726746885,0.9995133726746885,0.8342162872154115,0.9995128774902375,0.6762675468952422
volume-covid19-A-0016,0.5583052379131732,0.44564151885622977,0.7472089561495884,0.9998275286601496,0.9991942852157635,0.9991942852157635,0.7472089561495999,0.9991938747250578,0.3872562019335085
volume-covid19-A-0025,0.8016487163989803,0.7038381046593112,0.9310318751952099,0.9986543241951572,0.9912366398045274,0.9912366398045274,0.931031875195213,0.9910786532333444,0.6689597010235973
volume-covid19-A-0031,0.7513089224531447,0.7233441945994658,0.781522856794284,0.9993427881113431,0.9984486723599368,0.9984486723599368,0.7815228567942976,0.9984450285619345,0.6016771769757144
volume-covid19-A-0034,0.8701891741357975,0.8126360289506467,0.936515831717848,0.9989244991643315,0.9953570895724826,0.9953570895724826,0.9365158317178519,0.9952836948265525,0.7702078562313165
volume-covid19-A-0038,0.8707589542784552,0.9250269159243943,0.8225055480614063,0.9997639613750768,0.9996756929339785,0.9996756929339785,0.822505548061442,0.999675338238999,0.7711010484232856
volume-covid19-A-0039,0.747441877282397,0.7745803357313568,0.7221407112414782,0.9997469344516322,0.9995559056599935,0.9995559056599935,0.7221407112415287,0.9995556136336338,0.596732290283471
volume-covid19-A-0041,0.8166900642426081,0.830424835983422,0.803402231571231,0.9994208843604455,0.9989406424508968,0.9989406424508968,0.8034022315712457,0.9989381366158305,0.6901742642090541
volume-covid19-A-0044,0.8371058484887585,0.8485411140582428,0.8259746966175024,0.9999243472367547,0.9998603147618911,0.9998603147618911,0.8259746966176091,0.9998602646083251,0.7198469846984699
volume-covid19-A-0046,0.6443657437218218,0.5591544049171064,0.7602177766522978,0.9995037945645565,0.998268336465914,0.998268336465914,0.760217776652317,0.9982656155962913,0.475324181826818
volume-covid19-A-0047,0.7064351657778966,0.6711618257261287,0.7456217973782079,0.999304460187731,0.9983107061947093,0.9983107061947093,0.7456217973782232,0.9983072656097172,0.546115004898636
volume-covid19-A-0053,0.7364989737826986,0.6208235478315279,0.9051521446344087,0.9994488151582065,0.9962677791200835,0.9962677791200835,0.9051521446344192,0.9962482102536138,0.5829033443586916
volume-covid19-A-0054,0.7019623290123874,0.631792339723339,0.7896666183271234,0.9979843363936953,0.9936500549316406,0.9936500549316406,0.7896666183271298,0.9936022125905658,0.5407873320643328
volume-covid19-A-0066,0.8131867008544081,0.7076307245259501,0.9557549058870607,0.9992153779668785,0.9923948114568537,0.9923948114568537,0.9557549058870645,0.9922668081314212,0.6851850256816623
volume-covid19-A-0070,0.2707345971563714,0.21458757239001178,0.36667558170624054,0.9998727280984702,0.999603164028114,0.999603164028114,0.36667558170633857,0.9996031347945201,0.1565604659129839
volume-covid19-A-0072,0.3288278624043246,0.22855154587928933,0.5858817533127967,0.9999194548865332,0.9995350528073002,0.9995350528073002,0.585881753312946,0.9995349998456606,0.1967648065730914
volume-covid19-A-0073,0.7394331929459413,0.7479801751646158,0.7310793324264,0.9995445691230564,0.9991288465612075,0.9991288465612075,0.7310793324264242,0.9991277684183305,0.5865878657189255
volume-covid19-A-0074,0.536219517671883,0.6281785977341858,0.46774614781926177,0.998854881259671,0.9982620127060834,0.9982620127060834,0.467746147819274,0.9982602647524281,0.3663250905074554
volume-covid19-A-0077,0.722844344904714,0.8690676539882636,0.6187395159356293,0.9999066116651832,0.9998837984525241,0.9998837984525241,0.6187395159357776,0.9998837808416592,0.5659798334064007
volume-covid19-A-0083,0.42980368828075327,0.7088545499139787,0.3083982499199329,0.9996074736864736,0.9995356968470982,0.9995356968470982,0.30839824991996584,0.9995356155836945,0.2737260844856981
volume-covid19-A-0090,0.8362244897957051,0.930721181146547,0.7591477535892732,0.9999694792675893,0.9999623225285457,0.9999623225285457,0.7591477535896248,0.9999623189040365,0.718544498027181
volume-covid19-A-0092,0.4750672657989233,0.3275358770575132,0.864431631790823,0.9996043499313432,0.9944673934072819,0.9944673934072819,0.8644316317908445,0.9944535076469915,0.31153325989019354
volume-covid19-A-0096,0.77111670864813,0.7840191224174861,0.7586320832643716,0.9999115039691469,0.9998349386548239,0.9998349386548239,0.7586320832644969,0.9998348927469098,0.6274938507789013
volume-covid19-A-0106,0.7789648207175875,0.735324589441183,0.8281118117273019,0.9995657687013428,0.9988161305912205,0.9988161305912205,0.8281118117273224,0.9988136557863405,0.6379544454856662
volume-covid19-A-0110,0.6701704970141333,0.538910259654799,0.8859603503151404,0.9996375614829803,0.9972428288953058,0.9972428288953058,0.8859603503151589,0.9972350840730065,0.5039521950065081
