case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.36907161888904827,0.9805517669191758,0.2273156867165574,0.9674254690065608,0.9675525127817265,0.9675525127817265,0.22731568671655747,0.967241624742337,0.22629541748341217
volume-covid19-A-0011,0.0697557525407417,0.6391078485530923,0.03689112670304238,0.9594194197996133,0.9586422636702254,0.9586422636702254,0.03689112670304239,0.9585780332867273,0.03613830355021642
volume-covid19-A-0013,0.0027881676083832256,0.004339539058765915,0.0020539035892965245,0.9866475777159509,0.9804660540360671,0.9804660540360671,0.0020539035892965275,0.9804655205866035,0.0013960299869866378
volume-covid19-A-0014,0.05905600797300384,0.4580018861735233,0.031562907525958014,0.9816913064586887,0.9810099034876256,0.9810099034876256,0.031562907525958035,0.980998579912945,0.030426435907266756
volume-covid19-A-0016,0.04569066024704701,0.7826400577061721,0.02353223816526955,0.9628491782935568,0.9626432614313268,0.9626432614313268,0.023532238165269552,0.9626098238598224,0.023379441175276194
volume-covid19-A-0025,0.5112088712891792,0.6869740066710726,0.40706070866292426,0.9741729293162564,0.9669468989137744,0.9669468989137744,0.4070607086629249,0.9663655435326766,0.34337178764078724
volume-covid19-A-0031,0.06476243946943634,0.33491950833951134,0.035847040197786235,0.970722825080036,0.9686630980609214,0.9686630980609214,0.0358470401977863,0.9686290607812438,0.03346485247613798
volume-covid19-A-0034,0.6758295442760207,0.9134800540057957,0.5363047668550873,0.984579998666157,0.983218440303096,0.983218440303096,0.5363047668550884,0.9829196525662511,0.5103795673394012
volume-covid19-A-0038,0.0695589037532298,0.8767250660663171,0.036216136446795666,0.9724117777429291,0.9722987666274562,0.9722987666274562,0.036216136446795735,0.9722700534015244,0.036032647610159535
volume-covid19-A-0039,0.04378410850417544,0.9694994004795436,0.02239781440821601,0.9640691463908792,0.9640737533569336,0.9640737533569336,0.022397814408216053,0.9640441792517968,0.02238204315511204
volume-covid19-A-0041,0.09422240401166516,0.8884876444007319,0.04974910014821083,0.9516358157914403,0.9514563654510069,0.9514563654510069,0.049749100148210885,0.9513334900061303,0.049440398612095975
volume-covid19-A-0044,0.03705369835208918,0.6827586206895646,0.019043602747783172,0.9851175637206163,0.9849896711461684,0.9849896711461684,0.01904360274778324,0.9849853349856492,0.018876572589368545
volume-covid19-A-0046,0.11105910035294987,0.8263550009312568,0.05952984744193527,0.9632694262934486,0.9628852948750535,0.9628852948750535,0.05952984744193535,0.9627990464141143,0.058794375395070056
volume-covid19-A-0047,0.05379100184945395,0.6575652045050264,0.02804248478313246,0.9307686083486835,0.9299412334666532,0.9299412334666532,0.028042484783132482,0.9298014411678638,0.027638861962189464
volume-covid19-A-0053,0.1727351485709878,0.745310787537179,0.09768775747874747,0.9416719751095272,0.9400222383696457,0.9400222383696457,0.09768775747874758,0.9396443055087296,0.09453208079600528
volume-covid19-A-0054,0.18651893501639663,0.5446118939266941,0.11252895133246037,0.9485534426873495,0.9437723541259766,0.9437723541259766,0.11252895133246052,0.9434075549559193,0.10285132754781935
volume-covid19-A-0066,0.410019290521138,0.4540837052082239,0.3737504392986832,0.9817762868444068,0.9694328308105469,0.9694328308105469,0.37375043929868407,0.9691046716605053,0.25787689628984756
volume-covid19-A-0070,0.0315047178074474,0.7177962122396747,0.01610580806484461,0.984942573122894,0.9848508700518541,0.9848508700518541,0.016105808064844667,0.9848471364285999,0.016004467012162137
volume-covid19-A-0072,0.039537780901119535,0.9843920866884397,0.02017403209671796,0.9761622647481696,0.9761663659826502,0.9761663659826502,0.020174032096718003,0.9761546684129703,0.020167581153026765
volume-covid19-A-0073,0.01102882168160868,0.146954986760807,0.005729403792603251,0.9577864182589515,0.9564464793485754,0.9564464793485754,0.005729403792603259,0.9564358997911675,0.005544988183756989
volume-covid19-A-0074,0.11081737343266986,0.9380239205920192,0.05888712493697101,0.9759843652521978,0.9759236504049862,0.9759236504049862,0.05888712493697114,0.9758874744312168,0.05865889929023258
volume-covid19-A-0077,0.019270211629394594,0.9835072366203355,0.009730431742120217,0.9825448338846924,0.9825450016902043,0.9825450016902043,0.009730431742120248,0.9825420079009474,0.00972884425858349
volume-covid19-A-0090,0.015857650348264907,0.9999999999994321,0.007992193882182046,0.9871707862123061,0.987172112098107,0.987172112098107,0.007992193882182082,0.9871707862123061,0.007992193882182082
volume-covid19-A-0092,0.09294120760064555,0.4465139929940822,0.05186881078461716,0.9371331261301955,0.9333830779453494,0.9333830779453494,0.05186881078461722,0.9331549404046477,0.048735365669409815
volume-covid19-A-0096,0.05711846532415981,0.970974901826708,0.029424699776999224,0.9886374973007498,0.9886312333364335,0.9886312333364335,0.029424699776999373,0.9886273171290147,0.029398841002259063
volume-covid19-A-0106,0.1048702327710672,0.787743855395111,0.05617428237731516,0.9623448590469775,0.9618495253265881,0.9618495253265881,0.05617428237731525,0.9617640761720052,0.055336702839304294
volume-covid19-A-0110,0.058336529015922296,0.28103963152300093,0.032546130219689995,0.9563509515564756,0.9528408708243534,0.9528408708243534,0.03254613021969004,0.9527718815961542,0.030044613748826488
volume-covid19-A-0112,0.017668090315938596,0.05307145842038837,0.010598170772414537,0.996982976344399,0.9964085388183593,0.9964085388183593,0.010598170772414714,0.996408422818425,0.008912781068410858
volume-covid19-A-0114,0.06373242672057308,0.3252520515826342,0.035327374130949475,0.9870794479661585,0.9861180441720145,0.9861180441720145,0.035327374130949656,0.9861114821597685,0.032915092727928474
volume-covid19-A-0120,0.005226463052376864,0.01788084095830007,0.0030605169404394343,0.9954520572719008,0.9946893419538225,0.9946893419538225,0.003060516940439471,0.9946892678643675,0.002620078397658305
volume-covid19-A-0129,0.09254523191111041,0.7363200732884547,0.049375525711423354,0.946877556099683,0.9460914874898976,0.9460914874898976,0.04937552571142342,0.9459428907670389,0.048517654761393435
volume-covid19-A-0130,0.12683901318428858,0.4006509851575349,0.07534613287715494,0.9624586341622339,0.9582015728128368,0.9582015728128368,0.07534613287715507,0.9580742902534622,0.0677138879557327
volume-covid19-A-0133,0.0046778826425933045,0.0043300731174626475,0.005086447295036139,0.9970566333262867,0.9936186691810345,0.9936186691810345,0.005086447295036252,0.9936185734870355,0.0023444247933204457
volume-covid19-A-0147,0.017962058361405308,0.3886243386242358,0.009193488832007553,0.9914921419544804,0.9913697041256327,0.9913697041256327,0.00919348883200761,0.9913690229117519,0.009062419030463053
volume-covid19-A-0151,0.08529392726732724,0.6277075685823794,0.04575563902863471,0.9686594880186998,0.9678451805783991,0.9678451805783991,0.045755639028634804,0.9677969024666337,0.04454674713889414
volume-covid19-A-0154,0.169785448992927,0.8554175764191995,0.09424579682690012,0.9736516327623126,0.9732739039829799,0.9732739039829799,0.0942457968269003,0.9732006654450956,0.09276805765723102
volume-covid19-A-0164,0.049685612425091924,0.3945533233798803,0.026512125833861373,0.9494058617138609,0.9474749071844693,0.9474749071844693,0.026512125833861408,0.9474026861439822,0.02547569394023334
volume-covid19-A-0165,0.26235551262723417,0.9768041237113352,0.1515267004985392,0.9433196672900022,0.9436631001217265,0.9436631001217265,0.15152670049853934,0.9430929726845401,0.1509834229807866
volume-covid19-A-0167,0.019879145686906127,0.44183512891896354,0.010168320527749736,0.9791376939327286,0.978877199613131,0.978877199613131,0.010168320527749764,0.9788726739302325,0.010039359791401357
volume-covid19-A-0173,0.026640932147390214,0.9996432393860151,0.01350036135870868,0.9888404148473913,0.9888420649937221,0.9888420649937221,0.013500361358708746,0.9888403609516354,0.013500296312713501
volume-covid19-A-0178,0.12936349242687414,0.9435654316374439,0.06944202150652211,0.9307779242614636,0.9308475494384766,0.9308475494384766,0.06944202150652216,0.9304904435974972,0.06915479939750788
volume-covid19-A-0179,0.24047164979348948,0.9230794973478497,0.1382426350450566,0.9500677575735222,0.9498355793503096,0.9498355793503096,0.1382426350450568,0.9494340252334347,0.13666824394461524
volume-covid19-A-0181,0.029723833912717046,0.9701211305515558,0.015093138568748263,0.9877080178083738,0.9877046036393675,0.9877046036393675,0.015093138568748325,0.9877022875978916,0.015086125703761067
volume-covid19-A-0187,0.04250163499101476,0.8410647786308288,0.02180167081789036,0.9419262382796124,0.9417712600142868,0.9417712600142868,0.021801670817890383,0.9416959116199052,0.021712219918415984
volume-covid19-A-0196,0.030748215354163236,0.9223388644315472,0.01563471668653452,0.9636353277537429,0.9636094835069444,0.9636094835069444,0.01563471668653455,0.9635884660336502,0.01561416147691508
volume-covid19-A-0199,0.0417149963713954,0.9523489220093831,0.021324529034764016,0.9306306572058113,0.9306650722728056,0.9306650722728056,0.02132452903476403,0.9305602804129763,0.021301800449934315
volume-covid19-A-0201,0.21452835701163173,0.8778711030506805,0.1221947528674761,0.9587950285896278,0.9582697111984779,0.9582697111984779,0.12219475286747628,0.9580305399489486,0.12015220619946279
volume-covid19-A-0202,0.05876371237109474,0.5906154453101738,0.03092006325233158,0.9577895958198137,0.9569542267743278,0.9569542267743278,0.030920063252331622,0.9568963071736577,0.03027128265919184
volume-covid19-A-0214,0.5527334849036469,0.6112370242945169,0.5044508110444234,0.9858867326750493,0.9772830251920022,0.9772830251920022,0.5044508110444245,0.9769596105288112,0.38191547938000153
volume-covid19-A-0215,0.029897739032818192,0.3460650204299077,0.015623764713161365,0.9478541963910538,0.9464183989025298,0.9464183989025298,0.015623764713161384,0.9463741216219,0.015175729516771652
volume-covid19-A-0228,0.06718247311566537,0.940284118297532,0.03483572760459066,0.9491064728434339,0.9490892714348392,0.9490892714348392,0.0348357276045907,0.9489957642784249,0.03475882859152375
volume-covid19-A-0233,0.4121193601842815,0.8596890514229643,0.2710209465560746,0.9628221071136249,0.9611901752019333,0.9611901752019333,0.27102094655607495,0.9606549511343003,0.2595405157355597
volume-covid19-A-0236,0.27537005283969507,0.7428726517511389,0.1690094714460591,0.987911362961079,0.9871030535016742,0.9871030535016742,0.16900947144606002,0.987071371706531,0.15966906598897224
volume-covid19-A-0237,0.0435176636273511,0.996492595479151,0.022244550867989762,0.9870039219785514,0.9870067365241774,0.9870067365241774,0.022244550867989855,0.9870028948237175,0.0222428093616392
volume-covid19-A-0239,0.16058971884130258,0.8219423498582702,0.0889880250182019,0.964012560687231,0.9634075449473822,0.9634075449473822,0.08898802501820204,0.9632790105455495,0.087305002307665
volume-covid19-A-0240,0.02640692761892489,0.9400039864458959,0.013391564109699475,0.9802122386420673,0.9802007532831448,0.9802007532831448,0.013391564109699513,0.9801954355766057,0.013380127843206238
volume-covid19-A-0246,0.0743657723750178,0.9826774532656436,0.038645154796313,0.9675718340287414,0.9675918458000062,0.9675918458000062,0.03864515479631307,0.9675496005352873,0.03861884635626694
volume-covid19-A-0247,0.07273033031997111,0.7651341604481671,0.03817976655722263,0.9458178305518595,0.9453113555908204,0.9453113555908204,0.03817976655722268,0.9451938100170846,0.03773749541341877
volume-covid19-A-0251,0.23384119645546542,0.7171521869897697,0.13969585122320685,0.9465771050675758,0.9438351117647611,0.9438351117647611,0.13969585122320705,0.9433495544946,0.13240100266531285
volume-covid19-A-0252,0.055655937561007916,0.6783273426820898,0.02901843241124347,0.9728200467053713,0.9724678160652281,0.9724678160652281,0.029018432411243533,0.9724454605299717,0.02862453134513293
volume-covid19-A-0255,0.10373382339543095,0.8895270270270145,0.055078448787554135,0.9431371539083847,0.9429381383608465,0.9429381383608465,0.055078448787554184,0.942749086158047,0.054704252322411585
volume-covid19-A-0256,0.11444883882535611,0.5404020456731932,0.06400170792759051,0.9553162705799167,0.9529835715222714,0.9529835715222714,0.06400170792759059,0.952840290558361,0.06069781673495294
volume-covid19-A-0263,0.2088815892578403,0.7802416522268442,0.12058146604134075,0.9744880873020455,0.9736211071275684,0.9736211071275684,0.12058146604134097,0.973528922850549,0.11662075941215382
volume-covid19-A-0264,0.06472772683952799,0.8350008478887286,0.03366883649690931,0.9608703980202953,0.9606652190719825,0.9606652190719825,0.03366883649690936,0.9606116064182235,0.03344631540337316
volume-covid19-A-0267,0.021637899626559737,0.7684997978162619,0.010973433954420233,0.9807763896281916,0.9807174907011145,0.9807174907011145,0.010973433954420264,0.9807133782078556,0.010937279693376342
volume-covid19-A-0270,0.14751128489258564,0.9121333053279911,0.08024423945156976,0.9728039743026791,0.9726465618799603,0.9726465618799603,0.08024423945156992,0.9725816746164175,0.07962870903860415
volume-covid19-A-0282,0.04803824548427674,0.8945829485995003,0.024681817699321654,0.9745830968180254,0.9745256175165591,0.9745256175165591,0.024681817699321706,0.9745092333557015,0.024610239095691197
volume-covid19-A-0285,0.04990333536532256,0.7877921363760908,0.025767809124675065,0.9716691214665384,0.9714943872739191,0.9714943872739191,0.025767809124675113,0.9714730313783163,0.0255901854868673
volume-covid19-A-0288,0.07569105318935429,0.628327033241093,0.04027114681665989,0.9554497453997877,0.9544793909246271,0.9544793909246271,0.04027114681665994,0.9543943899844678,0.039334148144353286
