case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.7208152531063753,0.7752389006571705,0.6735316974378288,0.9892277713488471,0.9832642432486657,0.9832642432486657,0.6735316974378297,0.982894688638785,0.5634958162664192
volume-covid19-A-0011,0.7148908060403464,0.7225331951758799,0.707408395170185,0.9981324017416409,0.996420785655146,0.996420785655146,0.7074083951701886,0.9964046522103037,0.5562879865777332
volume-covid19-A-0013,0.7419540484306507,0.6363949691266053,0.8894949132060647,0.9989642681702099,0.9942759145604502,0.9942759145604502,0.8894949132060682,0.9942284192371706,0.5897670490534168
volume-covid19-A-0014,0.6310612332505404,0.5276965836948553,0.7847838687044204,0.9992156942526064,0.9966739709826483,0.9966739709826483,0.7847838687044324,0.9966644829446804,0.46098572746902244
volume-covid19-A-0016,0.3446978888619248,0.2957694491766014,0.4130233664622487,0.9986617200156641,0.9964309452086921,0.9964309452086921,0.4130233664622542,0.9964275918396651,0.20823865718683574
volume-covid19-A-0025,0.3358428941140647,0.42577845954867666,0.2772751237682342,0.9561042110584337,0.9359264373779297,0.9359264373779297,0.2772751237682347,0.9348713552712025,0.2018096085557228
volume-covid19-A-0031,0.1875558832627766,0.36939974627761957,0.12568507738179682,0.9772130347746747,0.9718705690824069,0.9718705690824069,0.12568507738179752,0.97177893827939,0.1034822985882826
volume-covid19-A-0034,0.34686038426905624,0.5083298068999291,0.2632422737784232,0.9542713722525633,0.940384257923473,0.940384257923473,0.2632422737784237,0.9394253642698904,0.209819171332175
volume-covid19-A-0038,0.31315359166444245,0.4314680917950104,0.24576220604034127,0.9911771626302407,0.9874725341796875,0.9874725341796875,0.24576220604034857,0.9874366555155566,0.18564440136161772
volume-covid19-A-0039,0.17232733074990372,0.09999999999997354,0.6227347611192376,0.999912517286431,0.9986148834228515,0.9986148834228515,0.6227347611202636,0.9986146836663917,0.09428785233225243
volume-covid19-A-0041,0.6291991122145673,0.654612343939559,0.6056853159514647,0.9963571035477173,0.9934606137483016,0.9934606137483016,0.6056853159514757,0.9934241293158946,0.4590010976948408
volume-covid19-A-0044,0.5909495813290049,0.4716337267168389,0.7910803720484638,0.9996275926628949,0.9980536566840278,0.9980536566840278,0.7910803720486526,0.998050916413092,0.4193956252370717
volume-covid19-A-0046,0.07038601326509644,0.14246476174253414,0.046738895059270265,0.9825431981204893,0.9775262196858724,0.9775262196858724,0.04673889505927059,0.9775070826072343,0.03647673252213354
volume-covid19-A-0047,0.08978065256822587,0.30097010335865454,0.05275952008346357,0.9745380625019103,0.9713790707471894,0.9713790707471894,0.05275952008346375,0.9713386143119371,0.04700017968561214
volume-covid19-A-0053,0.31011552224567823,0.5695631678189773,0.2130616107615299,0.966527210775499,0.9603097977176789,0.9603097977176789,0.21306161076153052,0.9599525451423335,0.1835128532914805
volume-covid19-A-0054,0.2344147067668175,0.46282328992352967,0.15695541542205962,0.9631246750541881,0.955811882019043,0.955811882019043,0.15695541542205996,0.9555109140586533,0.13276883743042064
volume-covid19-A-0066,0.5025020255615841,0.6321500740340686,0.4169827717818925,0.97209164660756,0.9616863614036923,0.9616863614036923,0.41698277178189336,0.9609303835904925,0.33556107196073554
volume-covid19-A-0070,0.14214536928485608,0.08935151068531882,0.34742120343814653,0.9996834778934842,0.9979698874733665,0.9979698874733665,0.34742120343839544,0.9979695459642558,0.07651049061366146
volume-covid19-A-0072,0.062155084727420915,0.14406099518457624,0.039625817489443986,0.9904911083133333,0.9881921495710101,0.9881921495710101,0.039625817489445075,0.9881875275992346,0.03207433383216814
volume-covid19-A-0073,0.5126431637406572,0.4773450522806305,0.5535784895215257,0.9985590283588209,0.9966152332447193,0.9966152332447193,0.55357848952155,0.996609196964087,0.34466723199387256
volume-covid19-A-0074,0.5559312826780667,0.748099415204651,0.44231226364126547,0.9929153343055175,0.9910902295793805,0.9910902295793805,0.44231226364127496,0.9910402603281283,0.38497564278593865
volume-covid19-A-0077,0.6022871664547963,0.6381689666776714,0.570225563909603,0.9992199939193362,0.9986354282924107,0.9986354282924107,0.5702255639097744,0.9986340169067683,0.4309090909090909
volume-covid19-A-0083,0.4454115421001995,0.2889761846304226,0.9711221122104199,0.9999664912403305,0.9972047805786133,0.9972047805786133,0.9711221122112211,0.9972016394898219,0.2865141187925998
volume-covid19-A-0090,0.46600124766049095,0.702728127939132,0.3485767615490674,0.9982224915931224,0.9978230794270834,0.9978230794270834,0.34857676154923006,0.9978210096921795,0.30378202521350145
volume-covid19-A-0092,0.08008730743500485,0.25221114358112784,0.04760133469906045,0.9306906426373567,0.9214980026771282,0.9214980026771282,0.04760133469906054,0.9212288274408879,0.041714036135679006
volume-covid19-A-0096,0.433877200515196,0.3450571965169293,0.5842729112458559,0.9992138429249412,0.9971258980887276,0.9971258980887276,0.5842729112460249,0.9971227291846587,0.277039067854695
volume-covid19-A-0106,0.15084866892978316,0.37846560727972794,0.09419679465366476,0.9785146235709175,0.9749929493871229,0.9749929493871229,0.09419679465366529,0.974937279919423,0.081577243784844
volume-covid19-A-0110,0.6043185428212681,0.5610117322824433,0.6548707155742535,0.996948911207309,0.9924962273959456,0.9924962273959456,0.6548707155742634,0.9924529814592993,0.4329917401373662
volume-covid19-A-0112,0.4738272052164177,0.32795653990803775,0.8534145280554907,0.9998388461576163,0.9979221820831299,0.9979221820831299,0.8534145280556764,0.9979202363508799,0.31046760028483267
volume-covid19-A-0114,0.6163858386974486,0.6210004291640541,0.6118393234672017,0.9978875988861696,0.9958775838216146,0.9958775838216146,0.6118393234672305,0.9958638853400634,0.4454896863134129
volume-covid19-A-0120,0.464992800575933,0.36788892844426,0.6317398214939929,0.9991761422615221,0.9967602321079799,0.9967602321079799,0.6317398214940702,0.9967556644216446,0.3029254851380665
volume-covid19-A-0129,0.18122600261890395,0.2877759960527888,0.13225730691048573,0.9828142685774968,0.9765450159708658,0.9765450159708658,0.13225730691048682,0.9764839744228203,0.09964184823395181
volume-covid19-A-0130,0.32584213155591807,0.425533964428639,0.263994827998347,0.9830915604327412,0.9752567660424017,0.9752567660424017,0.26399482799834845,0.9751079213817602,0.1946304692631815
volume-covid19-A-0133,0.7267755482967734,0.7395301133881458,0.7144534762105597,0.9959886676380952,0.9925547281901042,0.9925547281901042,0.7144534762105726,0.9924802663500139,0.570814947297436
volume-covid19-A-0147,0.33963369963364987,0.30750862297683534,0.3792539267014466,0.9993412771306487,0.9984370144930753,0.9984370144930753,0.37925392670157065,0.9984363860291248,0.2045534768796329
volume-covid19-A-0151,0.3347517504011725,0.588491228070159,0.23390083898607378,0.9890235206162058,0.9867555300394694,0.9867555300394694,0.23390083898607641,0.9867112479708526,0.20102213017297588
volume-covid19-A-0154,0.4556783417618752,0.64259552738157,0.3529986457728733,0.9914330140262028,0.9889139811197917,0.9889139811197917,0.35299864577287676,0.9888622985663837,0.2950669890116998
volume-covid19-A-0161,0.22907688995870673,0.477031917321415,0.15072959428068056,0.981907994716522,0.9785323006766183,0.9785323006766183,0.15072959428068133,0.9784636098675498,0.12935450932896023
volume-covid19-A-0164,0.29532667663606355,0.42019693153193616,0.22766984770313767,0.9920404101108389,0.9888650046454536,0.9888650046454536,0.22766984770314003,0.9888389623377777,0.17324532072413712
volume-covid19-A-0165,0.3905565532758369,0.7166509998290853,0.2684190521914816,0.9506793308216487,0.9449155084018049,0.9449155084018049,0.2684190521914821,0.9439257867840315,0.24266559602996335
volume-covid19-A-0167,0.2625078501151075,0.20517015706802924,0.36432306798362457,0.9988036498521508,0.9961602347237724,0.9961602347237724,0.3643230679837304,0.9961576089268245,0.15108433734939758
volume-covid19-A-0173,0.5671877052409605,0.7702461648231287,0.4488565488564555,0.9983115305711046,0.9979050954182943,0.9979050954182943,0.44885654885654885,0.9979022158839502,0.39585625229189586
volume-covid19-A-0178,0.42431070157406264,0.565129541731919,0.3396714525934525,0.9863504762182039,0.9811813647930439,0.9811813647930439,0.33967145259345494,0.9810499438869252,0.2692857671864229
volume-covid19-A-0179,0.34051664140065563,0.6016060952925972,0.23746139319814252,0.9730454518231635,0.9679342700589088,0.9679342700589088,0.23746139319814336,0.9676666017304468,0.20519436946210978
volume-covid19-A-0181,0.14562499999995449,0.07957650273221326,0.8566176470556742,0.9999701787440197,0.9979141235351563,0.9979141235351563,0.8566176470588235,0.9979137526736244,0.07853050219076509
volume-covid19-A-0187,0.16127579962582253,0.4420798595875141,0.0986282595660834,0.9877457960965416,0.9860957601796025,0.9860957601796025,0.0986282595660846,0.9860771480748522,0.08771070701794478
volume-covid19-A-0196,0.004907479576224564,0.012007345670290718,0.003083956171540415,0.9883186797816694,0.9853892856174045,0.9853892856174045,0.0030839561715405267,0.9853887592080572,0.002459775436971872
