case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
volume-covid19-A-0003,0.5904580756166309,0.5133770091247813,0.694775200164236,0.9977958208940999,0.9931073401801774,0.9931073401801774,0.6947752001642373,0.993072921225553,0.4189006835500395
volume-covid19-A-0011,0.16925869922784054,0.09483491267581644,0.7864158921728059,0.9999373565686334,0.9977413512564994,0.9977413512564994,0.7864158921728406,0.9977408314370397,0.09245364113239399
volume-covid19-A-0013,0.19213759323464197,0.37623716207551683,0.12901046606100142,0.9839143316771874,0.9800903063554031,0.9800903063554031,0.12901046606100156,0.9800430561648636,0.10627888080178416
volume-covid19-A-0014,0.37558284081739307,0.44134410365753196,0.3268773773279758,0.9988159165053859,0.9980905572851221,0.9980905572851221,0.3268773773279783,0.9980894601410674,0.2312108307242859
volume-covid19-A-0016,0.31429548244147254,0.7778866961362682,0.19693163487719237,0.9963711831208077,0.9961215307177599,0.9961215307177599,0.1969316348771928,0.9961180802494616,0.18644755303656646
volume-covid19-A-0025,0.7546501354651006,0.637964974374523,0.9235737545652415,0.9986374527294245,0.9895628006731878,0.9895628006731878,0.9235737545652448,0.9893925356688453,0.6059743988063478
volume-covid19-A-0031,0.7194844279010759,0.5861696293189569,0.9312916453100736,0.9998594459896706,0.9985192703874144,0.9985192703874144,0.9312916453100973,0.9985164532279367,0.5618708929261693
volume-covid19-A-0034,0.6831967730336849,0.5292051851469278,0.963587880090537,0.9996095700776696,0.9906013630054615,0.9906013630054615,0.9635878800905433,0.9905051398348225,0.5188298137814056
volume-covid19-A-0038,0.856771327174685,0.7738572966623875,0.9595849262697397,0.9999614607197356,0.9996944196296461,0.9996944196296461,0.959584926269798,0.9996941400838416,0.7494312796208531
volume-covid19-A-0039,0.4442268041236884,0.3229166666666425,0.7115257595771612,0.9998888344196634,0.9993144989013671,0.9993144989013671,0.7115257595772787,0.9993143110508167,0.28553442449141875
volume-covid19-A-0041,0.6594574180147207,0.4952071240853738,0.98673899939719,0.9999810338011609,0.9985466003417969,0.9985466003417969,0.9867389993972272,0.9985445521669176,0.49193321187761774
volume-covid19-A-0044,0.7275362318839994,0.5992042440317508,0.9258196721309577,0.9999796837534906,0.999810162712546,0.999810162712546,0.9258196721311476,0.9998101145855229,0.571753986332574
volume-covid19-A-0046,0.3302525509153037,0.22395231886756894,0.628640142207318,0.9996277804194789,0.9974515209459278,0.9974515209459278,0.6286401422073509,0.9974499186592604,0.19778592930107083
volume-covid19-A-0047,0.5370519585163551,0.38274303497331835,0.8998345091890558,0.9998705815412816,0.9980016596177045,0.9980016596177045,0.899834509189095,0.9979993406394674,0.3671025513467415
volume-covid19-A-0053,0.28589328462050634,0.16968842962266972,0.9070594635309491,0.9998526857360259,0.9928780259757206,0.9928780259757206,0.9070594635309871,0.9928678580771927,0.1667884980878879
volume-covid19-A-0054,0.5833481610068327,0.43322074540086614,0.8927039196673942,0.9993763155241225,0.9926752471923828,0.9926752471923828,0.892703919667406,0.9926374949185164,0.4117794824036859
volume-covid19-A-0066,0.5441733937666059,0.3828705282353104,0.9403355714472907,0.9994181382768497,0.9849962407892401,0.9849962407892401,0.9403355714472975,0.9848606547997925,0.3737899770732498
volume-covid19-A-0070,0.03434794750069333,0.019251839098447448,0.15912031047844874,0.9999650647229753,0.9996284162494499,0.9996284162494499,0.1591203104786546,0.9996284137938001,0.017474073021736043
volume-covid19-A-0072,0.1827082115111489,0.5435928024653998,0.10980801670816713,0.9978028284370744,0.9975764782397778,0.9975764782397778,0.10980801670816934,0.9975758215466892,0.10053873168220347
volume-covid19-A-0073,0.6865041358293277,0.5353045013239006,0.9567406868097951,0.9999599355687525,0.9991920695585363,0.9991920695585363,0.9567406868098531,0.9991913542166678,0.5226542043684332
volume-covid19-A-0074,0.07012214515398277,0.9472835046122217,0.03640863734527537,0.959836898681321,0.9598168204812443,0.9598168204812443,0.03640863734527543,0.9597558462420803,0.03633501725402089
volume-covid19-A-0077,0.47564894932003077,0.3237967014472152,0.8957169459954416,0.9999934258368953,0.9998755234938401,0.9998755234938401,0.8957169459962756,0.9998755164658086,0.31203373337658125
volume-covid19-A-0083,0.2951392457095576,0.3522197694382261,0.253979483551423,0.9997445338697031,0.9995846824040489,0.9995846824040489,0.253979483551468,0.9995846462886793,0.1731163351416516
volume-covid19-A-0090,0.19754350051166963,0.10959681998858058,0.9999999999948187,1.0,0.9999079777644231,0.9999079777644231,1.0,0.9999079767221015,0.10959681998864282
volume-covid19-A-0092,0.34399790646379047,0.216618328373948,0.8350212348905283,0.9996703520509541,0.9936850925661483,0.9936850925661483,0.8350212348905587,0.9936746194909127,0.20772794177404935
