case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.7668805229391021,0.6957782366120306,0.8541689138172567,0.9994546158278794,0.9980667515804893,0.9980667515804893,0.8541689138172797,0.9980605845276177,0.621902854674677
study_0256,0.5964392169499623,0.4434249299250032,0.9106967132453793,0.9998217420661714,0.9975500840407151,0.9975500840407151,0.9106967132454241,0.9975456406287557,0.4249471944163835
study_0257,0.5209353768367418,0.42829306313322574,0.6647177419353498,0.9998329276915467,0.9993912546258223,0.9993912546258223,0.6647177419354838,0.999391053079505,0.3522059609016131
study_0258,0.8054395164874055,0.7612567204300755,0.8550669937723695,0.9997135422883195,0.9991853295302973,0.9991853295302973,0.8550669937724099,0.9991839534454574,0.6742559523809524
study_0259,0.5252585323950003,0.6197084275356186,0.4557912844036436,0.9990201828296924,0.9985185571618982,0.9985185571618982,0.4557912844036697,0.998517342062466,0.35616990769782236
study_0260,0.06371585440249225,0.03582044051520327,0.28799019607834314,0.9997660849321051,0.9972267150878906,0.9972267150878906,0.28799019607843135,0.9972264533661455,0.0329062521879157
study_0261,0.7431852523420523,0.6854721819600083,0.8115100316788791,0.9998670259201679,0.9996046671053258,0.9996046671053258,0.8115100316789863,0.9996044408381647,0.5913244205059152
study_0262,0.46027991326626644,0.36022832459112,0.6372816593884724,0.9998664991125052,0.9994502820466694,0.9994502820466694,0.6372816593886463,0.9994501531608613,0.29893739598002816
study_0263,0.323962516733589,0.22048997772827392,0.6104260089685243,0.999747049486947,0.9983487810407367,0.9983487810407367,0.6104260089686099,0.9983481274962083,0.19329073482428116
study_0264,0.4648900295442877,0.4369705469845477,0.4966207600101698,0.9992642179055716,0.9983316747153678,0.9983316747153678,0.4966207600102015,0.9983304648041478,0.30283825816485227
study_0265,0.805750465957669,0.7830012784998727,0.8298611111110877,0.999498630738669,0.9988245756729789,0.9988245756729789,0.8298611111111112,0.9988217031734458,0.6746918822152349
study_0266,0.3072389021918756,0.3405471621068434,0.27986577181198663,0.9997591591084036,0.9995780271642348,0.9995780271642348,0.27986577181208055,0.9995779876755795,0.18150163220892274
study_0267,0.4312450321554714,0.3837942122186001,0.49208443271759694,0.999690567233461,0.9992098557321649,0.9992098557321649,0.4920844327176781,0.9992096189702694,0.27489636112390603
study_0268,0.09935140027150187,0.055640029284222806,0.4634146341461241,0.9998983511833334,0.9984108680902526,0.9984108680902526,0.4634146341463415,0.9984107287917067,0.052272366541452835
study_0269,0.5407792673631229,0.4147238841895188,0.7769260499870666,0.9996846361239984,0.9981395176478794,0.9981395176478794,0.7769260499871167,0.9981374773401714,0.37059456137655555
study_0270,0.48198228805688476,0.34077442910673733,0.8230198019801344,0.9998097677129081,0.9981033491051715,0.9981033491051715,0.823019801980198,0.9981016741058089,0.3175076840440452
study_0271,0.43169227553042416,0.36107711138304577,0.5366424116422722,0.99982986707781,0.99948148727417,0.99948148727417,0.5366424116424117,0.999481385141403,0.27525993068515064
study_0272,0.715193529751506,0.882520672939583,0.6012043512042343,0.999788259292328,0.9997458586821685,0.9997458586821685,0.6012043512043512,0.9997457775612446,0.5566546762589928
study_0273,0.6176674608679731,0.5077098517526646,0.7884200800738537,0.999730679249865,0.9987600277631711,0.9987600277631711,0.7884200800739144,0.9987587845586023,0.446829864292883
study_0274,0.47222148347117177,0.3261452555012554,0.8552986512523261,0.9998598969860407,0.9981535934820408,0.9981535934820408,0.8552986512524084,0.9981520670496561,0.30909027608536715
study_0275,0.63984621721815,0.7663633373532763,0.5491829038340235,0.9995132073265943,0.9993329366048177,0.9993329366048177,0.5491829038340666,0.9993325411022869,0.4704219664849586
study_0276,0.7610080569608276,0.7103008044770692,0.8195117029862516,0.999543706723554,0.9987024943033854,0.9987024943033854,0.8195117029862793,0.9986998083861085,0.6142155009451796
