case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.8497124962032652,0.8910073364670542,0.8120758343176151,0.9990533429689914,0.998559550235146,0.998559550235146,0.8120758343176313,0.9985536606125165,0.7386957551035274
study_0256,0.883082320208058,0.8744399990416887,0.8918971752516643,0.9995655024246515,0.9990546397673779,0.9990546397673779,0.8918971752516861,0.9990512525821832,0.790642261453482
study_0257,0.6620516974739921,0.5839179007533666,0.7643257949327046,0.9998607563322212,0.9995393251117907,0.9995393251117907,0.7643257949328346,0.9995391171436873,0.49482606781153676
study_0258,0.6488415860860396,0.6299143145161026,0.6689415228154392,0.9993079136926785,0.9984896590070027,0.9984896590070027,0.668941522815469,0.9984875486203318,0.48021133525456294
study_0259,0.560692095014402,0.735168004989418,0.45314752522823387,0.9988251691709935,0.9984764923920503,0.9984764923920503,0.45314752522825563,0.9984750097472647,0.3895567397860123
study_0260,0.20999947591844742,0.15269415440895692,0.33615771812077716,0.9992035413372411,0.9969735396535773,0.9969735396535773,0.33615771812080536,0.9969723217706514,0.11731810862245645
study_0261,0.8125679619984655,0.7915040695728853,0.8347836312322631,0.9998691676595489,0.9996952894257336,0.9996952894257336,0.8347836312323612,0.9996950880311113,0.6843069211490264
study_0262,0.5661716633977243,0.4676025917925844,0.7173964497039721,0.9998800601507383,0.9995337034526625,0.9995337034526625,0.717396449704142,0.9995335615283557,0.3948671182907764
study_0263,0.5900204672171504,0.6347438752783643,0.551184563315874,0.9990709073061933,0.9984171731131417,0.9984171731131417,0.5511845633158982,0.9984153682816144,0.4184603063369707
study_0264,0.47163619315517263,0.7901262272089318,0.33614167402562506,0.997407754407027,0.9970639856850229,0.9970639856850229,0.33614167402563305,0.9970601332983039,0.3085889570552147
study_0265,0.8007293925872604,0.7719475815043477,0.8317405653608602,0.9995122734396575,0.9988037606944209,0.9988037606944209,0.8317405653608839,0.9988008786961408,0.6676803280576865
study_0266,0.634154297830593,0.7937933850548005,0.5279739272133276,0.9998049480570389,0.9997483421774471,0.9997483421774471,0.5279739272134709,0.9997482872761518,0.46429424408884645
study_0267,0.486728767977531,0.8030868167201539,0.3491779443015127,0.9988307861892921,0.9986780066239206,0.9986780066239206,0.34917794430153226,0.998677177458919,0.32164013805182096
study_0268,0.5630527122066512,0.4553697133524551,0.7374373005015287,0.9997441897349799,0.9988866406817769,0.9988866406817769,0.737437300501596,0.9988858414507108,0.3918395037798023
study_0269,0.6395406790135636,0.5515439103225173,0.7609469139901911,0.9995411150530835,0.9983577728271484,0.9983577728271484,0.7609469139902273,0.9983553768561929,0.4700917323642332
study_0270,0.6791833453363814,0.6493930756173125,0.7118382249683783,0.9993175582987545,0.9984115103016729,0.9984115103016729,0.7118382249684033,0.9984088348334837,0.5142147041667723
study_0271,0.705947050043153,0.7856268578421427,0.6409415121254435,0.9997598291838742,0.9996430397033691,0.9996430397033691,0.640941512125535,0.9996428866853597,0.5455318115590092
study_0272,0.736807958477429,0.9714856002278381,0.5934506183590674,0.9997592777341906,0.9997490547798775,0.9997490547798775,0.5934506183591709,0.9997489666015225,0.5832905324430748
study_0273,0.8421624980580799,0.8063364569388266,0.8813201105510822,0.9997853666510933,0.9994037334735577,0.9994037334735577,0.8813201105511299,0.9994027834640381,0.7273581108278545
study_0274,0.7392394215318535,0.6337753939972582,0.8868099105581944,0.9997946026386564,0.9988675931604897,0.9988675931604897,0.88680991055824,0.9988657725551067,0.5863440165856643
study_0275,0.537317327766162,0.9029711654422866,0.3824471790108947,0.9988717574479574,0.998797607421875,0.998797607421875,0.38244717901091246,0.9987967673556808,0.3673505798394291
study_0276,0.8137931034482652,0.9045703625976186,0.7395739001953974,0.9990709198947267,0.9987960815429687,0.9987960815429687,0.7395739001954149,0.9987929059382874,0.686046511627907
study_0277,0.6566011891790827,0.5474460132890224,0.8201259818025967,0.9994628565165047,0.9974497014825995,0.9974497014825995,0.8201259818026285,0.9974434682247041,0.48876118088705567
study_0278,0.502078747860092,0.4337323943661666,0.5959938068511131,0.9996456543215743,0.9989644368489583,0.9989644368489583,0.5959938068511709,0.9989638958939285,0.33518367346938777
study_0279,0.8554269811044204,0.8023237556915999,0.916057903464307,0.9998253194145951,0.9993571769900438,0.9993571769900438,0.9160579034643481,0.9993559521616665,0.7473765037112874
study_0280,0.7742893226685402,0.7643482064741572,0.7844924347864776,0.9995170351755354,0.998977359972502,0.998977359972502,0.7844924347865129,0.9989755630506398,0.631706435285611
study_0281,0.5195530726256323,0.5041892557909058,0.5358826610789587,0.999872422293153,0.9997276450103184,0.9997276450103184,0.535882661079099,0.9997276048969499,0.35094339622641507
study_0282,0.6679786987727867,0.641538803646733,0.696691620381382,0.9998738572709079,0.9997120907432154,0.9997120907432154,0.6966916203815503,0.9997120073359805,0.5014774900052147
study_0283,0.795593310326467,0.8292750415051425,0.764540816326433,0.9998281299985213,0.9997134324980945,0.9997134324980945,0.7645408163265306,0.9997132725930491,0.6605686577033282
study_0284,0.8310964678521046,0.8207569740178563,0.8416997889984376,0.9996838097146082,0.9993180495042068,0.9993180495042068,0.8416997889984789,0.999316903416982,0.7110051813471503
study_0285,0.4902685202818324,0.751167133519987,0.3638830779668477,0.9988695761558635,0.998656523855109,0.998656523855109,0.3638830779668683,0.9986556552884389,0.3247388869266865
study_0286,0.6000135726646433,0.5541696699990425,0.6541264380571652,0.9991274725305488,0.9978064560308689,0.9978064560308689,0.6541264380571894,0.9978028411530387,0.42858527836350857
study_0287,0.22884012539149085,0.7448979591760725,0.13518518518493486,0.9999585702532288,0.99995635276617,0.99995635276617,0.13518518518518519,0.9999563524835038,0.12920353982300886
study_0288,0.6443600140480776,0.502539840637444,0.8976959345253782,0.9996241967614256,0.9963836669921875,0.9963836669921875,0.8976959345253981,0.9963717806026577,0.47531794630240226
study_0289,0.6724339843602178,0.5490776728977389,0.8672773338529656,0.9998761124298798,0.9992124466668992,0.9992124466668992,0.8672773338530501,0.9992118095311507,0.5065164190996528
study_0290,0.570101092617161,0.6083687479568155,0.5363627629935375,0.9991423370409276,0.9985060580941134,0.9985060580941134,0.5363627629935632,0.998504576758814,0.3987002785117475
study_0291,0.8680975281151014,0.8188075823360931,0.9237018158648883,0.9998212615705379,0.9993441511945027,0.9993441511945027,0.9237018158649252,0.9993427326879203,0.7669366837493801
study_0292,0.7941973840665686,0.9138572679509132,0.7022457734039573,0.9993401451233368,0.9991948197527629,0.9991948197527629,0.7022457734039869,0.9991935668740307,0.6586462606500474
study_0293,0.6114085287058694,0.5972948602343376,0.6262053318206416,0.9998065192539765,0.9995882083208133,0.9995882083208133,0.6262053318207601,0.9995880748752679,0.4403084286094124
study_0294,0.6197405884212875,0.7497129735932837,0.5281747101643224,0.9998608936083314,0.9998089472452799,0.9998089472452799,0.5281747101644648,0.9998089174961547,0.44900297960119184
study_0295,0.6955490696825765,0.6409121470192379,0.7603695825577798,0.9996640278485032,0.9990682834532203,0.9990682834532203,0.7603695825578304,0.9990672907702861,0.5332121381624948
study_0296,0.27804308606597916,0.21328557473132312,0.39926851569631233,0.9997719966545626,0.999213594378847,0.999213594378847,0.399268515696434,0.9992134752738963,0.16146924688771108
