case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.12516578249336813,0.29851074111496073,0.07918380664934171,0.9840624384198944,0.9809293245014391,0.9809293245014391,0.07918380664934217,0.9809032716712964,0.06676098682465294
study_0256,0.03248034423612684,0.1177259768572838,0.01883899065334563,0.9748643545515927,0.9713648282564603,0.9713648282564603,0.018838990653345704,0.9713510580893738,0.01650826925208873
study_0257,0.014794897147128954,0.1593920498830658,0.007757476133274276,0.9842328146088105,0.9835953963430304,0.9835953963430304,0.007757476133274325,0.9835933754641577,0.007452578640800287
study_0258,0.04321846310161709,0.3001512096774067,0.023285671458922515,0.9720500450574108,0.9705617020769817,0.9705617020769817,0.02328567145892259,0.970542116301289,0.022086503928344037
study_0259,0.04652814144838992,0.20433460668899942,0.02625305501021649,0.989963868274003,0.9889249028386297,0.9889249028386297,0.026253055010216755,0.9889219092625982,0.02381817851365842
study_0260,0.14396970974876402,0.9041612681959872,0.0782116828021318,0.9718534950876827,0.9716751700953433,0.9716751700953433,0.07821168280213206,0.9716075427574364,0.07756862078434962
study_0261,0.04535954505856868,0.6763295796632092,0.023466695551927614,0.9764941309357025,0.9762436471334318,0.9762436471334318,0.023466695551927704,0.9762302317350159,0.023206081171551318
study_0262,0.0599429848216338,0.24004936747913605,0.03424747986089637,0.9955923612178413,0.9951007240696957,0.9951007240696957,0.03424747986089713,0.9950999586743503,0.030897537728355837
study_0263,0.06477457051448617,0.36586353512855,0.03553274538143117,0.982148790951141,0.981042952764602,0.981042952764602,0.035532745381431335,0.9810304994537764,0.03347133079566188
study_0264,0.06864169794443384,0.6479102384291362,0.036240570359863826,0.9713770047732172,0.9708405471429592,0.9708405471429592,0.03624057035986394,0.9708091805831681,0.03554063369359167
study_0265,0.11733341950494372,0.48356594928615804,0.06676694273231415,0.9788903326489798,0.9773481617803159,0.9773481617803159,0.06676694273231439,0.9773140066221673,0.062322994799265376
study_0266,0.040151610865444845,0.6488362596975709,0.020716809428820735,0.9915703443385049,0.9914761711569393,0.9914761711569393,0.020716809428821006,0.9914746512492499,0.02048710047575457
study_0267,0.01803364088650827,0.331704180064266,0.00926877655024687,0.9723050641384802,0.9718050705759149,0.9718050705759149,0.009268776550246903,0.9717977690893957,0.009098863259502826
study_0268,0.030949151478592517,0.49985921045218784,0.01596894008768881,0.9514011143162672,0.9506898037222928,0.9506898037222928,0.01596894008768884,0.9506509450680422,0.01571780205769333
study_0269,0.03713819196420331,0.17323430300528941,0.02079850059241453,0.9783998056273008,0.9762730371384394,0.9762730371384394,0.020798500592414615,0.9762621751365969,0.01892043128668697
study_0270,0.06231461486106067,0.23751721487364322,0.03586160206968236,0.9834229356782898,0.9814915864363961,0.9814915864363961,0.03586160206968254,0.9814801968400181,0.03215930477619448
study_0271,0.0,0.0,0.0,0.9904883005705797,0.9899480819702149,0.9899480819702149,0.0,0.9899480819702149,0.0
study_0272,0.050007983394538824,0.669803250641383,0.025973595170171542,0.9909147456414468,0.9907986408955342,0.9907986408955342,0.02597359517017183,0.9907964119546923,0.025645224682300537
study_0273,0.04003851331776879,0.2329813079478292,0.021901144228752435,0.9794328328456058,0.9779602442032251,0.9779602442032251,0.021901144228752535,0.9779501095859767,0.02042821432452994
study_0274,0.0701645354556021,0.576503434848074,0.0373554804938835,0.9622779630738078,0.9613009196955983,0.9613009196955983,0.03735548049388358,0.9612443325983807,0.03635778113973408
study_0275,0.009390072393248163,0.33746299747830966,0.004761278646175733,0.9454172049905325,0.9449471367730035,0.9449471367730035,0.00476127864617574,0.9449327683394495,0.004717183544109804
study_0276,0.05485990492417867,0.29045703625975605,0.03029050309896307,0.9728777984202236,0.9708930969238281,0.9708930969238281,0.03029050309896316,0.9708684882681607,0.02820357518877857
study_0277,0.10678061987311557,0.4115188953488266,0.06134981194570392,0.9718329434998437,0.9693374633789062,0.9693374633789062,0.06134981194570416,0.9692811622420048,0.05640160934014919
study_0278,0.02780033497436921,0.15429577464787644,0.01527638331102176,0.9880131010296817,0.9870095147026909,0.9870095147026909,0.015276383311021866,0.9870071014878472,0.014096105717576062
