case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.1811855160991317,0.5742354924151079,0.10756199428091999,0.9491429408604773,0.9451833089192708,0.9451833089192708,0.10756199428092046,0.9448488247611757,0.09961737038212835
study_0256,0.22267220314075098,0.32782389937106093,0.168594421156133,0.9876495494058383,0.9826469421386719,0.9826469421386719,0.16859442115613518,0.9826037042369674,0.12528482564344157
study_0257,0.1823849165621283,0.6606085639541979,0.10579700557870597,0.9740974871630761,0.972649892171224,0.972649892171224,0.1057970055787083,0.9725662057591964,0.10034298142881044
study_0258,0.6284167917405598,0.6167752879206938,0.6405062117559502,0.9981411356259086,0.9961042404174805,0.9961042404174805,0.64050621175598,0.9960913644750001,0.45816891600623405
study_0259,0.045126630851879866,0.263024944742631,0.02468050644912769,0.9526956373455138,0.9495711326599121,0.9495711326599121,0.024680506449127934,0.9495109691199449,0.023084170854271356
study_0260,0.2326138589107855,0.5334193301800901,0.14873776060747154,0.9692229295436271,0.9648733139038086,0.9648733139038086,0.1487377606074735,0.9646853024491524,0.13161462201317914
study_0261,0.6372232602910006,0.8242273326496522,0.5193834225585638,0.9975089997966818,0.9969449043273926,0.9969449043273926,0.5193834225586118,0.9969366849547578,0.46759182316769154
study_0262,0.5170659317362182,0.3816901408450107,0.8012483574241783,0.9996691490513596,0.9975171770368304,0.9975171770368304,0.8012483574244416,0.9975138726017956,0.34867762687634024
study_0263,0.07460997012537067,0.2645141822570752,0.04343000961147785,0.9782566097536912,0.9756027670467601,0.9756027670467601,0.04343000961147828,0.9755787482887155,0.03875057467199491
study_0264,0.32286959810497595,0.6752143868120327,0.21215926332861895,0.9903896873904054,0.9891862869262695,0.9891862869262695,0.2121592633286245,0.9891583360370829,0.1925131151043274
study_0265,0.4022455890215615,0.7354404881805577,0.2768275277641466,0.9868895717749299,0.9851853220086348,0.9851853220086348,0.2768275277641497,0.9851111067616456,0.2517568321249303
study_0266,0.32464929859703173,0.2932126696829926,0.36363636363595553,0.9994586962312073,0.9987144470214844,0.9987144470214844,0.36363636363636365,0.9987140496750782,0.1937799043062201
study_0267,0.4599287622439381,0.5138025366822895,0.4162804755187555,0.998417793244845,0.9973558698381696,0.9973558698381696,0.4162804755188394,0.9973528895076876,0.29864122578779995
study_0268,0.09348700355908407,0.5203833500214189,0.05135661650526518,0.9729400731342843,0.9716696488229852,0.9716696488229852,0.05135661650526554,0.971628202498864,0.049035597309646725
study_0269,0.04501009391731739,0.15851949550737127,0.02622874796260033,0.950062637226587,0.943402723832564,0.943402723832564,0.026228747962600506,0.9433271360102898,0.0230231848140366
study_0270,0.14365930029505522,0.348284671532834,0.09049271734182891,0.980636686063695,0.9771579943205181,0.9771579943205181,0.09049271734182977,0.9771141454375237,0.0773884343094402
study_0271,0.08928181619732707,0.0754195094965747,0.1093875367745094,0.9981799151173621,0.995452880859375,0.995452880859375,0.10938753677453865,0.9954518671382684,0.04672683651319547
study_0272,0.5144965735370735,0.44811753902649276,0.6039603960393548,0.9990816112747513,0.9973649978637695,0.9973649978637695,0.6039603960396039,0.9973613137849628,0.34634492547906315
study_0273,0.5159666335942286,0.7688222088374983,0.38826977850287897,0.9929265395456062,0.9916254679361979,0.9916254679361979,0.3882697785028897,0.9915879205041883,0.34767859353720443
study_0274,0.5197298972872352,0.6955332316799401,0.4148677206216619,0.9961924290715019,0.9950299696488814,0.9950299696488814,0.41486772062167293,0.9950165682631742,0.3511047722539165
study_0275,0.3452143186357086,0.4927631578946287,0.26566564199571224,0.9970319106639035,0.9959354400634766,0.9959354400634766,0.26566564199574366,0.9959310804069874,0.2086157274162102
study_0276,0.23371563987707897,0.5042327881785205,0.15210983981693224,0.985199006982345,0.982679526011149,0.982679526011149,0.15210983981693363,0.9826336552433704,0.1323205057767798
study_0277,0.12005186145582428,0.30282190244812923,0.0748660136758448,0.9797903948359913,0.9761539258454975,0.9761539258454975,0.0748660136758455,0.9761150730176401,0.06385913472527646
study_0278,0.7280414620839821,0.5855210237659535,0.9622641509432805,0.9998905888653609,0.997925498268821,0.997925498268821,0.9622641509433962,0.997919721850606,0.5723782972335406
study_0279,0.7573263214054199,0.8412920159173295,0.6886001386001147,0.9971214942734165,0.9959513346354166,0.9959513346354166,0.6886001386001386,0.9959255947572744,0.6094329786255328
study_0280,0.4391261291000144,0.7841487594447895,0.3049494633739647,0.9893344146447771,0.9881172180175781,0.9881172180175781,0.30494946337397105,0.9880616844905696,0.2813335127756522
study_0281,0.7233741753061442,0.6422594142256727,0.8279395900750658,0.9996950829011275,0.9988803863525391,0.9988803863525391,0.8279395900755124,0.9988787449584113,0.5666297526762643
study_0282,0.609678878335319,0.5319652722963442,0.7139830508467013,0.9994837683381719,0.9983539581298828,0.9983539581298828,0.7139830508474576,0.998351839332027,0.4385165907612232
study_0283,0.7185460755015723,0.9285939470364235,0.5859942305778786,0.9960066472723913,0.9955987930297852,0.9955987930297852,0.585994230577937,0.9955739269290341,0.5607272035027603
study_0284,0.1682739925976107,0.39095048929365417,0.10720975648638811,0.9801598946631906,0.9765909635103666,0.9765909635103666,0.10720975648638954,0.9765353982378974,0.09186635551255051
study_0285,0.49233543733081775,0.5548780487802059,0.44246353322510434,0.998245936078646,0.9971364339192709,0.9971364339192709,0.44246353322528365,0.9971324521863142,0.326555023923445
study_0286,0.05781914852390614,0.20937412293010332,0.03354075246385122,0.9742659444332307,0.9710171222686768,0.9710171222686768,0.03354075246385152,0.970991324816123,0.029770218607583825
study_0288,0.329893613075691,0.7571503404923945,0.21088953978252944,0.9619848358967653,0.9592727314342152,0.9592727314342152,0.2108895397825302,0.9588603049873261,0.19752850217118728
