case,dice score,recall,precision,specificity,accuracy,Pixel-Wise Accuracy,Pixel-Wise Precision,IoU_clase_0.0,IoU_clase_1.0
study_0255,0.7952129004845694,0.8633088784430686,0.7370740580987428,0.9985861157372175,0.9979678706118935,0.9979678706118935,0.7370740580987566,0.9979598210834748,0.6600443354717361
study_0256,0.8209858519363892,0.7409741022016545,0.920368992709391,0.9997371800380577,0.9986807016225961,0.9986807016225961,0.9203689927094182,0.9986766983034012,0.6963324853096787
study_0257,0.5368278355173487,0.3858144972719686,0.8820908820906201,0.9999601156305135,0.9994855178029913,0.9994855178029913,0.882090882090882,0.9994853643650421,0.36689314391599753
study_0258,0.8027828191167413,0.836063508064481,0.7720502676285481,0.9994519817800958,0.9990900551400533,0.9990900551400533,0.7720502676285781,0.9990883668054034,0.6705406771096514
study_0259,0.472363693172927,0.589303812270945,0.3941495463551781,0.9988004956588553,0.9982589515479835,0.9982589515479835,0.39414954635519867,0.998257593634351,0.3092121410455698
study_0260,0.014410934482245787,0.007392729212712164,0.284457478005448,0.9999508818618188,0.997336136667352,0.997336136667352,0.2844574780058651,0.9973360847875142,0.0072577628133183685
study_0261,0.8342760861715709,0.7728843795294043,0.9062622565039996,0.9999332336027733,0.999743763993426,0.999743763993426,0.9062622565041182,0.9997435986240352,0.7156721040677266
study_0262,0.3505327427271219,0.2258562172168735,0.7824692677708271,0.9999591159810304,0.9994554017719469,0.9994554017719469,0.7824692677712454,0.9994553217226332,0.2125127014080418
study_0263,0.4718653880947931,0.39603158534114213,0.5836192749514707,0.9994920972072442,0.9984092712402344,0.9984092712402344,0.5836192749515142,0.9984081400269619,0.30878522377456785
study_0264,0.502999512041089,0.49155680224401166,0.5149876572234328,0.9992309469482935,0.9983889882157488,0.9983889882157488,0.5149876572234631,0.9983876738011286,0.3360049085400928
study_0265,0.7991697210945913,0.8101427658214146,0.7884899546338098,0.9993212756258172,0.9987322765847911,0.9987322765847911,0.7884899546338302,0.9987290708640888,0.6655142988425268
study_0266,0.0689700386809107,0.21478154348704992,0.04108091221492963,0.9986220668839619,0.9984066907097312,0.9984066907097312,0.04108091221493283,0.9984065966740608,0.03571671080328648
study_0267,0.5581929995976459,0.6245659163986335,0.5045719035743449,0.9995209820029681,0.9992283268978721,0.9992283268978721,0.5045719035743973,0.9992279505406254,0.3871482101570597
study_0268,0.09225404205853893,0.04916371008616043,0.7467921300250241,0.999973699257226,0.998475895371548,0.998475895371548,0.7467921300256629,0.9984757773247301,0.048357613693015014
study_0269,0.5955140812654184,0.4893404855236748,0.7605280034202244,0.9995919302545876,0.998244149344308,0.998244149344308,0.760528003420265,0.9982418768882749,0.4240085808777523
study_0270,0.6559745554822336,0.6209204752906312,0.6952234095961882,0.9992933635454574,0.9983136550239895,0.9983136550239895,0.6952234095962132,0.9983109394723271,0.48806706610946077
study_0271,0.6246707638278507,0.4976394474557619,0.8387857353372122,0.9999478055477071,0.9996738433837891,0.9996738433837891,0.8387857353374595,0.9996737548357261,0.45419725502713054
